PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
USA,02,m,1933,1933,3,O,1184820,11,.,.,1
USA,02,f,1933,1933,3,O,1122180,11,.,.,1
USA,02,m,1934,1934,3,O,1229928,11,.,.,1
USA,02,f,1934,1934,3,O,1166072,11,.,.,1
USA,02,m,1935,1935,75,O,1219000,10,.,.,1
USA,02,f,1935,1935,75,O,1158000,10,.,.,1
USA,02,m,1936,1936,23,O,1207000,10,.,.,1
USA,02,f,1936,1936,23,O,1148000,10,.,.,1
USA,02,m,1937,1937,23,O,1238000,10,.,.,1
USA,02,f,1937,1937,23,O,1175000,10,.,.,1
USA,02,m,1938,1938,23,O,1280000,10,.,.,1
USA,02,f,1938,1938,23,O,1217000,10,.,.,1
USA,02,m,1939,1939,23,O,1265000,10,.,.,1
USA,02,f,1939,1939,23,O,1201000,10,.,.,1
USA,02,m,1940,1940,75,O,1313000,10,.,.,1
USA,02,f,1940,1940,75,O,1246000,10,.,.,1
USA,02,m,1941,1941,75,O,1387000,10,.,.,1
USA,02,f,1941,1941,75,O,1316000,10,.,.,1
USA,02,m,1942,1942,75,O,1537000,10,.,.,1
USA,02,f,1942,1942,75,O,1452000,10,.,.,1
USA,02,m,1943,1943,75,O,1593000,10,.,.,1
USA,02,f,1943,1943,75,O,1510000,10,.,.,1
USA,02,m,1944,1944,75,O,1509000,10,.,.,1
USA,02,f,1944,1944,75,O,1430000,10,.,.,1
USA,02,m,1945,1945,75,O,1467000,10,.,.,1
USA,02,f,1945,1945,75,O,1391000,10,.,.,1
USA,02,m,1946,1946,75,O,1754000,10,.,.,1
USA,02,f,1946,1946,75,O,1657000,10,.,.,1
USA,02,m,1947,1947,75,O,1960000,10,.,.,1
USA,02,f,1947,1947,75,O,1857000,10,.,.,1
USA,02,m,1948,1948,75,O,1866000,10,.,.,1
USA,02,f,1948,1948,75,O,1771000,10,.,.,1
USA,02,m,1949,1949,75,O,1872000,10,.,.,1
USA,02,f,1949,1949,75,O,1777000,10,.,.,1
USA,02,m,1950,1950,75,O,1863000,10,.,.,1
USA,02,f,1950,1950,75,O,1768000,10,.,.,1
USA,02,m,1951,1951,75,O,1960000,10,.,.,1
USA,02,f,1951,1951,75,O,1863000,10,.,.,1
USA,02,m,1952,1952,75,O,2005000,10,.,.,1
USA,02,f,1952,1952,75,O,1908000,10,.,.,1
USA,02,m,1953,1953,75,O,2034000,10,.,.,1
USA,02,f,1953,1953,75,O,1931000,10,.,.,1
USA,02,m,1954,1954,75,O,2090000,10,.,.,1
USA,02,f,1954,1954,75,O,1988000,10,.,.,1
USA,02,m,1955,1955,75,O,2103000,10,.,.,1
USA,02,f,1955,1955,75,O,2001000,10,.,.,1
USA,02,m,1956,1956,75,O,2162000,10,.,.,1
USA,02,f,1956,1956,75,O,2056000,10,.,.,1
USA,02,m,1957,1957,75,O,2207000,10,.,.,1
USA,02,f,1957,1957,75,O,2101000,10,.,.,1
USA,02,m,1958,1958,75,O,2179000,10,.,.,1
USA,02,f,1958,1958,75,O,2076000,10,.,.,1
USA,01,m,1959,1959,75,O,2207788,8,.,.,1
USA,01,f,1959,1959,75,O,2104312,8,.,.,1
USA,01,m,1960,1960,87,O,2179708,.,.,.,1
USA,01,f,1960,1960,87,O,2078142,.,.,.,1
