PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,Note1,Note2,Note3,LDB
USA,02,1933,1933,1,1,17,O,180545,.,.,.,1
USA,02,1933,1933,2,1,17,O,165986,.,.,.,1
USA,02,1933,1933,3,1,17,O,183762,.,.,.,1
USA,02,1933,1933,4,1,17,O,171354,.,.,.,1
USA,02,1933,1933,5,1,17,O,174811,.,.,.,1
USA,02,1933,1933,6,1,17,O,169255,.,.,.,1
USA,02,1933,1933,7,1,17,O,180880,.,.,.,1
USA,02,1933,1933,8,1,17,O,181856,.,.,.,1
USA,02,1933,1933,9,1,17,O,167637,.,.,.,1
USA,02,1933,1933,10,1,17,O,167055,.,.,.,1
USA,02,1933,1933,11,1,17,O,165939,.,.,.,1
USA,02,1933,1933,12,1,17,O,172152,.,.,.,1
USA,02,1933,1933,TOT,1,17,O,2081232,.,.,.,1
USA,02,1934,1934,1,1,17,O,182698,.,.,.,1
USA,02,1934,1934,2,1,17,O,166452,.,.,.,1
USA,02,1934,1934,3,1,17,O,179065,.,.,.,1
USA,02,1934,1934,4,1,17,O,168671,.,.,.,1
USA,02,1934,1934,5,1,17,O,179021,.,.,.,1
USA,02,1934,1934,6,1,17,O,175044,.,.,.,1
USA,02,1934,1934,7,1,17,O,187768,.,.,.,1
USA,02,1934,1934,8,1,17,O,195393,.,.,.,1
USA,02,1934,1934,9,1,17,O,192412,.,.,.,1
USA,02,1934,1934,10,1,17,O,187766,.,.,.,1
USA,02,1934,1934,11,1,17,O,175481,.,.,.,1
USA,02,1934,1934,12,1,17,O,177865,.,.,.,1
USA,02,1934,1934,TOT,1,17,O,2167636,.,.,.,1
USA,02,1935,1935,1,1,17,O,186051,.,.,.,1
USA,02,1935,1935,2,1,17,O,171058,.,.,.,1
USA,02,1935,1935,3,1,17,O,185375,.,.,.,1
USA,02,1935,1935,4,1,17,O,172177,.,.,.,1
USA,02,1935,1935,5,1,17,O,174705,.,.,.,1
USA,02,1935,1935,6,1,17,O,178786,.,.,.,1
USA,02,1935,1935,7,1,17,O,191888,.,.,.,1
USA,02,1935,1935,8,1,17,O,192449,.,.,.,1
USA,02,1935,1935,9,1,17,O,185218,.,.,.,1
USA,02,1935,1935,10,1,17,O,177945,.,.,.,1
USA,02,1935,1935,11,1,17,O,167643,.,.,.,1
USA,02,1935,1935,12,1,17,O,171810,.,.,.,1
USA,02,1935,1935,TOT,1,17,O,2155105,.,.,.,1
USA,02,1936,1936,1,1,17,O,182221,.,.,.,1
USA,02,1936,1936,2,1,17,O,176711,.,.,.,1
USA,02,1936,1936,3,1,17,O,188522,.,.,.,1
USA,02,1936,1936,4,1,17,O,170489,.,.,.,1
USA,02,1936,1936,5,1,17,O,170479,.,.,.,1
USA,02,1936,1936,6,1,17,O,176341,.,.,.,1
USA,02,1936,1936,7,1,17,O,190986,.,.,.,1
USA,02,1936,1936,8,1,17,O,190494,.,.,.,1
USA,02,1936,1936,9,1,17,O,183819,.,.,.,1
USA,02,1936,1936,10,1,17,O,178672,.,.,.,1
USA,02,1936,1936,11,1,17,O,166482,.,.,.,1
USA,02,1936,1936,12,1,17,O,169574,.,.,.,1
USA,02,1936,1936,TOT,1,17,O,2144790,.,.,.,1
USA,02,1937,1937,1,1,21,O,182232,.,.,.,1
USA,02,1937,1937,2,1,21,O,170698,.,.,.,1
USA,02,1937,1937,3,1,21,O,189650,.,.,.,1
USA,02,1937,1937,4,1,21,O,175708,.,.,.,1
USA,02,1937,1937,5,1,21,O,181023,.,.,.,1
USA,02,1937,1937,6,1,21,O,177588,.,.,.,1
USA,02,1937,1937,7,1,21,O,195407,.,.,.,1
USA,02,1937,1937,8,1,21,O,201292,.,.,.,1
USA,02,1937,1937,9,1,21,O,192513,.,.,.,1
USA,02,1937,1937,10,1,21,O,183842,.,.,.,1
USA,02,1937,1937,11,1,21,O,172924,.,.,.,1
USA,02,1937,1937,12,1,21,O,180460,.,.,.,1
USA,02,1937,1937,TOT,1,21,O,2203337,.,.,.,1
USA,02,1938,1938,1,1,21,O,194557,.,.,.,1
USA,02,1938,1938,2,1,21,O,180052,.,.,.,1
USA,02,1938,1938,3,1,21,O,196177,.,.,.,1
USA,02,1938,1938,4,1,21,O,184263,.,.,.,1
USA,02,1938,1938,5,1,21,O,188010,.,.,.,1
USA,02,1938,1938,6,1,21,O,183822,.,.,.,1
USA,02,1938,1938,7,1,21,O,203183,.,.,.,1
USA,02,1938,1938,8,1,21,O,205742,.,.,.,1
USA,02,1938,1938,9,1,21,O,196692,.,.,.,1
USA,02,1938,1938,10,1,21,O,192035,.,.,.,1
USA,02,1938,1938,11,1,21,O,179917,.,.,.,1
USA,02,1938,1938,12,1,21,O,182512,.,.,.,1
USA,02,1938,1938,TOT,1,21,O,2286962,.,.,.,1
USA,02,1939,1939,1,1,43,O,192416,.,.,.,1
USA,02,1939,1939,2,1,43,O,176904,.,.,.,1
USA,02,1939,1939,3,1,43,O,196123,.,.,.,1
USA,02,1939,1939,4,1,43,O,182990,.,.,.,1
USA,02,1939,1939,5,1,43,O,182774,.,.,.,1
USA,02,1939,1939,6,1,43,O,181809,.,.,.,1
USA,02,1939,1939,7,1,43,O,200553,.,.,.,1
USA,02,1939,1939,8,1,43,O,203754,.,.,.,1
USA,02,1939,1939,9,1,43,O,197814,.,.,.,1
USA,02,1939,1939,10,1,43,O,193120,.,.,.,1
USA,02,1939,1939,11,1,43,O,177396,.,.,.,1
USA,02,1939,1939,12,1,43,O,179935,.,.,.,1
USA,02,1939,1939,TOT,1,43,O,2265588,.,.,.,1
USA,02,1940,1940,1,1,43,O,194247,.,.,.,1
USA,02,1940,1940,2,1,43,O,188279,.,.,.,1
USA,02,1940,1940,3,1,43,O,198090,.,.,.,1
USA,02,1940,1940,4,1,43,O,186743,.,.,.,1
USA,02,1940,1940,5,1,43,O,194123,.,.,.,1
USA,02,1940,1940,6,1,43,O,192404,.,.,.,1
USA,02,1940,1940,7,1,43,O,210125,.,.,.,1
USA,02,1940,1940,8,1,43,O,213669,.,.,.,1
