birds,black oil sunflower,striped sunflower,hulled sunflower,millet white/red,milo seed,nyjer seed,shelled peanuts,safflower seed,corn products
cardinals,4,4,4,1,0,0,0,4,1
chickadees,4,2,2,0,0,0,2,2,0
doves,2,1,2,4,4,1,0,2,2
goldfinches,4,2,4,1,0,4,0,0,0
grosbeaks,2,2,4,0,0,0,0,1,0
house finches,4,2,4,2,0,4,0,1,0
jays,4,4,4,0,1,0,2,1,2
juncos,1,1,1,1,0,1,0,0,4
nuthatches,4,2,2,0,0,0,1,1,0
purple finches,4,2,4,1,0,4,0,0,0
siskins,1,1,4,0,0,4,0,0,1
sparrows,4,4,4,4,2,0,0,1,2
titmice,4,2,2,0,0,1,2,1,0
towhees,4,4,4,1,0,0,1,1,1
woodpeckers,2,2,4,0,0,0,1,1,1
