  Year          Age             Female            Male           Total
  1933           0             52615.77        68438.11       121053.88
  1933           1              8917.13        10329.16        19246.29
  1933           2              4336.92         5140.05         9476.97
  1933           3              3161.59         3759.88         6921.47
  1933           4              2493.84         2932.59         5426.43
  1933           5              2139.87         2537.53         4677.40
  1933           6              1939.70         2337.76         4277.46
  1933           7              1760.47         2163.90         3924.37
  1933           8              1602.20         2015.97         3618.17
  1933           9              1464.88         1893.96         3358.84
  1933          10              1357.91         1805.52         3163.43
  1933          11              1318.90         1781.24         3100.14
  1933          12              1357.26         1828.76         3186.02
  1933          13              1472.99         1948.10         3421.09
  1933          14              1666.09         2139.25         3805.34
  1933          15              1923.01         2388.83         4311.84
  1933          16              2189.59         2643.37         4832.96
  1933          17              2452.27         2889.52         5341.79
  1933          18              2711.06         3127.25         5838.31
  1933          19              2965.97         3356.57         6322.54
  1933          20              3209.73         3570.47         6780.20
  1933          21              3413.35         3740.80         7154.15
  1933          22              3569.58         3860.55         7430.13
  1933          23              3678.44         3929.71         7608.15
  1933          24              3739.90         3948.29         7688.19
  1933          25              3761.01         3928.04         7689.05
  1933          26              3769.97         3915.97         7685.94
  1933          27              3773.81         3923.84         7697.65
  1933          28              3772.51         3951.64         7724.15
  1933          29              3766.10         3999.39         7765.49
  1933          30              3761.75         4070.24         7831.99
  1933          31              3788.15         4176.88         7965.03
  1933          32              3852.49         4322.47         8174.96
  1933          33              3954.75         4507.02         8461.77
  1933          34              4094.95         4730.51         8825.46
  1933          35              4263.27         4986.16         9249.43
  1933          36              4420.51         5246.75         9667.26
  1933          37              4556.85         5505.47        10062.32
  1933          38              4672.29         5762.35        10434.64
  1933          39              4766.83         6017.36        10784.19
  1933          40              4847.79         6273.76        11121.55
  1933          41              4944.40         6544.53        11488.93
  1933          42              5064.01         6832.90        11896.91
  1933          43              5206.58         7138.91        12345.49
  1933          44              5372.12         7462.52        12834.64
  1933          45              5558.88         7800.95        13359.83
  1933          46              5759.77         8143.05        13902.82
  1933          47              5973.03         8486.01        14459.04
  1933          48              6198.66         8829.84        15028.50
  1933          49              6436.67         9174.55        15611.22
  1933          50              6679.42         9512.52        16191.94
  1933          51              6896.45         9813.41        16709.86
  1933          52              7080.15        10069.59        17149.74
  1933          53              7230.49        10281.08        17511.57
  1933          54              7347.50        10447.87        17795.37
  1933          55              7449.52        10592.71        18042.23
  1933          56              7609.92        10806.56        18416.48
  1933          57              7847.06        11112.17        18959.23
  1933          58              8160.95        11509.55        19670.50
  1933          59              8551.57        11998.68        20550.25
  1933          60              8993.57        12541.41        21534.98
  1933          61              9385.49        12985.15        22370.64
  1933          62              9701.97        13291.74        22993.71
  1933          63              9943.02        13461.18        23404.20
  1933          64             10108.63        13493.46        23602.09
  1933          65             10223.43        13430.41        23653.84
  1933          66             10385.89        13439.23        23825.12
  1933          67             10620.66        13561.72        24182.38
  1933          68             10927.71        13797.91        24725.62
  1933          69             11307.04        14147.76        25454.80
  1933          70             11722.60        14555.96        26278.56
  1933          71             12030.03        14801.26        26831.29
  1933          72             12193.27        14828.31        27021.58
  1933          73             12212.33        14637.12        26849.45
  1933          74             12087.19        14227.68        26314.87
  1933          75             11833.28        13632.14        25465.42
  1933          76             11512.24        12979.02        24491.26
  1933          77             11139.50        12300.46        23439.96
  1933          78             10715.05        11596.44        22311.49
  1933          79             10238.90        10867.00        21105.90
  1933          80              9710.72        10111.03        19821.75
  1933          81              9129.20         9324.30        18453.50
  1933          82              8494.04         8505.70        16999.74
  1933          83              7805.22         7655.27        15460.49
  1933          84              7062.75         6773.00        13835.75
  1933          85              6281.62         5874.18        12155.80
  1933          86              5521.77         5020.06        10541.83
  1933          87              4798.22         4225.92         9024.14
  1933          88              4110.92         3491.77         7602.69
  1933          89              3459.91         2817.62         6277.53
  1933          90              2850.54         2208.48         5059.02
  1933          91              2304.18         1684.40         3988.58
  1933          92              1826.18         1250.41         3076.59
  1933          93              1416.56          906.52         2323.08
  1933          94              1075.32          652.69         1728.01
  1933          95               799.59          479.17         1278.76
  1933          96               578.03          346.72          924.75
  1933          97               407.80          245.55          653.35
  1933          98               288.89          175.66          464.55
  1933          99               221.30          137.05          358.35
  1933         100               222.96          143.20          366.16
  1933         101               158.98          102.06          261.04
  1933         102               111.64           71.89          183.53
  1933         103                77.19           50.04          127.23
  1933         104                52.54           34.42           86.96
  1933         105                35.19           23.39           58.58
  1933         106                23.20           15.70           38.90
  1933         107                15.05           10.41           25.46
  1933         108                 9.61            6.82           16.43
  1933         109                 6.03            4.41           10.44
  1933         110+                8.42            6.39           14.81
  1934           0             56294.52        74046.90       130341.42
  1934           1              9479.02        10992.38        20471.40
  1934           2              4735.01         5485.18        10220.19
  1934           3              3226.42         3851.04         7077.46
  1934           4              2459.60         2997.92         5457.52
  1934           5              2110.53         2595.91         4706.44
  1934           6              1925.23         2384.41         4309.64
  1934           7              1761.30         2201.62         3962.92
  1934           8              1618.76         2047.52         3666.28
  1934           9              1497.61         1922.13         3419.74
  1934          10              1405.85         1832.84         3238.69
  1934          11              1375.59         1809.31         3184.90
