par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
100,"Johnson City","Tennessee","TN",29001,.0016206,.0000345,.0003448,.0003793,.0001379,.0001034,.0003448,.0001724,.0001379,0,0,0,0,0,0,.0000345,14658,.0027971,.0000682,.0005458,.000614,.0002047,.0002047,.0006822,.0002729,.0002729,0,0,0,0,0,0,.0000682,14343,.0004183,0,.0001394,.0001394,.0000697,0,0,.0000697,0,0,0,0,0,0,0,0,6422,.0004671,0,0,0,0,0,.0001557,.0001557,.0001557,0,0,0,0,0,0,0,7019,.0008548,0,.0002849,.0002849,0,.0001425,0,0,.0001425,0,0,0,0,0,0,0,6967,.0008612,0,.0002871,0,0,0,.0004306,.0001435,0,0,0,0,0,0,0,0,5014,.0015955,0,.0005983,.0001994,.0001994,.0001994,.0003989,0,0,0,0,0,0,0,0,0,3579,.0067058,.0002794,.0008382,.0022353,.0008382,.0002794,.0011176,.0008382,.0005588,0,0,0,0,0,0,.0002794
200,"Morristown","Tennessee","TN",12212,.0011464,.0002457,.0001638,.0002457,.0001638,0,.0002457,.0001638,.0001638,0,0,0,0,0,.0001638,.0000819,6199,.0019358,.0004839,.0003226,.0004839,0,0,.0004839,.0003226,.0003226,0,0,0,0,0,.0003226,.0001613,6012,.0003327,0,0,0,.0003327,0,0,0,0,0,0,0,0,0,0,0,3213,.0009337,.0003112,0,0,0,0,.0003112,.0003112,.0003112,0,0,0,0,0,.0003112,0,3258,.0009208,0,.0003069,.0003069,0,0,.0003069,0,0,0,0,0,0,0,0,0,2927,.0013666,.0003416,.0003416,.0003416,0,0,.0003416,.0003416,0,0,0,0,0,0,.0003416,0,1881,.0021265,.0005316,0,.0005316,.0010633,0,0,0,.0005316,0,0,0,0,0,0,.0005316,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"Middlesborough","Tennessee","TN",3347,.0005976,0,0,0,.0002988,0,.0002988,0,0,0,0,0,0,0,0,0,1683,.0005942,0,0,0,0,0,.0005942,0,0,0,0,0,0,0,0,0,1664,.000601,0,0,0,.000601,0,0,0,0,0,0,0,0,0,0,0,1158,.0008636,0,0,0,.0008636,0,0,0,0,0,0,0,0,0,0,0,999,.001001,0,0,0,0,0,.001001,0,0,0,0,0,0,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
302,"Knoxville","Tennessee","TN",37791,.0018258,.0000794,.0002117,.0004498,.0003175,.0002117,.0001588,.0003175,.0001588,0,.0000265,0,0,0,0,.0000529,19001,.0029472,.0001579,.0003684,.0007894,.0003684,.0003684,.0002631,.0005263,.0002631,0,.0000526,0,0,0,0,.0001053,18770,.0006926,0,.0000533,.0001066,.0002664,.0000533,.0000533,.0001066,.0000533,0,0,0,0,0,0,0,7437,.0002689,0,.0001345,.0001345,0,0,0,0,0,0,0,0,0,0,0,0,7999,.0010001,0,.000125,.000125,.00025,.000125,.000125,.00025,0,0,0,0,0,0,0,0,7960,.0016332,0,.0001256,.0005025,.0001256,.0002513,.0001256,.0003769,.0001256,0,0,0,0,0,0,0,7377,.00122,.0001356,.0001356,.0004067,.0001356,.0002711,.0002711,0,0,0,.0001356,0,0,0,0,0,7018,.0052722,.000285,.00057,.0011399,.0011399,.0004275,.000285,.0009974,.0007125,0,0,0,0,0,0,.000285
401,"Winston-Salem","North Carolina","NC",26286,.0019402,.0000761,.0001902,.0006848,.0002283,.0003043,.0001522,.0003043,.0000761,0,.0000761,0,0,0,0,0,13280,.0031627,.0000753,.0003012,.0012048,.0002259,.0004518,.0003012,.0005271,.0001506,0,.0000753,0,0,0,0,0,13004,.0006921,.0000769,.0000769,.0001538,.0002307,.0001538,0,.0000769,0,0,.0000769,0,0,0,0,0,4504,.000222,0,0,0,0,.000222,0,0,0,0,0,0,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5273,.0022757,0,0,.0005689,.0003793,.0003793,.0001896,.0007586,0,0,0,0,0,0,0,0,5647,.0024792,.0001771,.0003542,.0010625,.0003542,.0003542,.0001771,.0001771,0,0,.0001771,0,0,0,0,0,5571,.004308,.0001795,.0005385,.0016155,.000359,.0005385,.000359,.0005385,.000359,0,.0001795,0,0,0,0,0
402,"Martinsville","Virginia","VA",5300,.000566,0,.0001887,0,0,0,.0001887,.0001887,0,0,0,0,0,0,0,0,2678,.0007468,0,.0003734,0,0,0,.0003734,0,0,0,0,0,0,0,0,0,2622,.0003814,0,0,0,0,0,0,.0003814,0,0,0,0,0,0,0,0,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,.0014306,0,.0014306,0,0,0,0,0,0,0,0,0,0,0,0,0,449,.0044543,0,0,0,0,0,.0022272,.0022272,0,0,0,0,0,0,0,0
500,"Greensboro","North Carolina","NC",54311,.0015651,.0001657,.0002578,.0004235,.0001473,.0002209,.0000921,.0002578,.0001657,0,.0000552,0,.0000184,0,.0000184,.0000736,27258,.0025681,.0002935,.0004769,.0007337,.0001101,.0003302,.0001467,.0004402,.0003302,0,.0000734,0,.0000367,0,.0000367,.0001467,27050,.0005545,.000037,.000037,.0001109,.0001848,.0001109,.000037,.0000739,0,0,.000037,0,0,0,0,0,10803,.0004628,.0000926,0,.0001851,.0000926,0,0,.0000926,.0000926,0,.0000926,0,0,0,0,0,12622,.0003169,0,.0001585,.0001585,0,0,0,0,0,0,0,0,0,0,0,0,11052,.0010858,.0000905,.0003619,.0002714,0,.000181,.0000905,.000181,0,0,0,0,0,0,.0000905,0,10634,.0014106,.000094,.000094,.0004702,.0001881,.0001881,.000094,.0002821,.000094,0,0,0,0,0,0,.000094,9200,.0053261,.0006522,.0007609,.0011957,.0005435,.0008696,.0003261,.0008696,.0007609,0,.0002174,0,.0001087,0,0,.0003261
601,"North Wilkesboro","North Carolina","NC",4703,.0008505,0,0,0,0,.0002126,0,.0004253,.0002126,0,0,0,0,0,0,0,2417,.0012412,0,0,0,0,.0004137,0,.0008275,0,0,0,0,0,0,0,0,2286,.0004374,0,0,0,0,0,0,0,.0004374,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,.0007541,0,0,0,0,0,0,0,.0007541,0,0,0,0,0,0,0,1182,.000846,0,0,0,0,0,0,.000846,0,0,0,0,0,0,0,0,682,.0029326,0,0,0,0,.0014663,0,.0014663,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,"Galax","Virginia","VA",2938,.0003404,0,0,0,0,0,0,.0003404,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,.0006988,0,0,0,0,0,0,.0006988,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,.0024038,0,0,0,0,0,0,.0024038,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
700,"Spartanburg","South Carolina","SC",19529,.0011777,.0001536,.0001536,.0002048,.0002048,.0000512,.0001024,.0004096,.0000512,0,.0000512,0,0,0,.0001024,0,9758,.0020496,.0003074,.000205,.0004099,.0003074,.0001025,.0001025,.0008198,.0001025,0,.0001025,0,0,0,.000205,0,9770,.0003071,0,.0001024,0,.0001024,0,.0001024,0,0,0,0,0,0,0,0,0,4187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4975,.000201,0,0,0,0,0,0,.000201,0,0,0,0,0,0,0,0,4149,.0014461,0,.000241,.000241,.000241,.000241,.000241,.000241,0,0,0,0,0,0,0,0,3660,.0016393,.0005464,.0002732,.0002732,.0002732,0,0,.0005464,.0002732,0,.0002732,0,0,0,.0002732,0,2558,.0039093,.0003909,.0003909,.0007819,.0007819,0,.0003909,.0015637,0,0,0,0,0,0,.0003909,0
