par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
"Alaska","AK",42265,.0017982,.0000473,.0000946,.0006388,.0002366,.0002129,.0002129,.0003312,.000071,0,.0000237,0,0,0,0,.0000237,21571,.0029669,.0000927,.0001854,.001159,.0004172,.0003245,.0003709,.0004172,.0000927,0,.0000464,0,0,0,0,.0000464,20693,.0005799,0,0,.0000967,.0000483,.0000967,.0000483,.0002416,.0000483,0,0,0,0,0,0,0,4420,.0006787,0,0,0,0,0,.0002262,.0002262,.0002262,0,0,0,0,0,0,0,6706,.0008947,0,0,.0004474,0,.0001491,0,.0002982,0,0,0,0,0,0,0,0,8459,.0005911,0,0,.0003547,0,.0001182,0,.0001182,0,0,0,0,0,0,0,0,10418,.0017278,0,0,.0004799,.000192,.0004799,.000288,.000192,.000096,0,0,0,0,0,0,0,12262,.0035883,.0001631,.0003262,.0013048,.0006524,.0001631,.0004078,.0006524,.0000816,0,.0000816,0,0,0,0,.0000816
"Alabama","AL",273721,.0007964,.0000329,.0000877,.000285,.0000986,.000084,.0000658,.0001169,.0000585,3.65e-06,3.65e-06,0,3.65e-06,0,7.31e-06,.0000146,137697,.0012927,.0000508,.0001307,.0005301,.0001307,.0001162,.0001017,.0002179,.0000654,7.26e-06,7.26e-06,0,7.26e-06,0,.0000145,.0000145,135995,.0002941,.0000147,.0000441,.0000368,.0000662,.0000515,.0000294,.0000147,.0000515,0,0,0,0,0,0,.0000147,74075,.000189,.0000135,.000027,.0000405,.0000135,0,.0000405,.0000675,0,0,0,0,0,0,.0000135,0,63880,.0002818,0,.0000157,.0001409,.0000157,.000047,.0000313,.0000157,.0000157,0,0,0,0,0,0,0,51567,.0005818,.0000194,.0001164,.0001357,.0000776,.0000194,.0000582,.000097,.0000776,0,0,0,0,0,0,.0000194,45688,.0010506,.0000438,.0001094,.0004159,.0001313,.0000876,.0000876,.0001532,.0000657,.0000219,0,0,0,0,0,.0000219,38511,.0028044,.0001298,.0002597,.0010387,.0003895,.0003895,.0001558,.0003635,.0002077,0,.000026,0,.000026,0,.000026,.0000519
"Arkansas","AR",162805,.0007924,.000043,.000043,.0001843,.000129,.0001413,.0000799,.0001351,.0000799,0,0,0,6.14e-06,0,.0000123,.0000246,82367,.001384,.000085,.000085,.0003521,.00017,.0002792,.0001578,.0002064,.0001335,0,0,0,.0000121,0,.0000243,.0000486,80429,.0001865,0,0,.0000124,.000087,0,0,.0000622,.0000249,0,0,0,0,0,0,0,43263,.0001849,.0000231,0,.0000231,0,.0000462,.0000231,.0000693,.0000231,0,0,0,0,0,0,.0000231,42201,.0003554,0,0,.0000948,.0000474,.0000237,.0000474,.0000711,.0000711,0,0,0,0,0,0,0,34296,.0008747,.0000583,.0001166,.0001458,.0001458,.0001166,.0000583,.0001749,.0001166,0,0,0,0,0,.0000292,.0000292,25461,.001571,.0001178,.0000393,.0003928,.0002357,.0003142,.0002749,.0001964,.0001178,0,0,0,.0000393,0,0,.0000786,17584,.0020473,.0000569,.0001137,.0005687,.000455,.000455,.0000569,.0002843,.0001137,0,0,0,0,0,.0000569,0
"Arizona","AZ",269197,.0020134,.0000892,.00013,.0007281,.0003566,.0002155,.0002117,.00026,.0001114,0,.0000149,3.71e-06,.0000186,3.71e-06,.0000223,.000026,135771,.0032628,.0001252,.000221,.0012889,.0004861,.0003314,.0003535,.0004198,.000162,0,.0000221,7.37e-06,.0000221,7.37e-06,.0000368,.0000295,133405,.0007421,.0000525,.0000375,.0001574,.0002249,.0000974,.0000675,.0000974,.00006,0,7.50e-06,0,.000015,0,7.50e-06,.0000225,48930,.0007153,.0000409,.0000409,.0002248,.0001226,.0000613,.0001226,.0001022,.0000409,0,0,0,0,0,.0000204,.0000204,59938,.0010177,.0000334,.0001168,.0002503,.0001502,.0000834,.0001335,.0001668,.0001168,0,0,0,0,0,0,.0000334,56024,.0015351,.0001071,.0001071,.0004462,.0003391,.000232,.0000892,.000232,.0000892,0,.0000178,0,.0000357,0,.0000535,0,52846,.0020626,.0000946,.0001703,.0009272,.000246,.0001703,.000246,.0002082,.0000946,0,.0000189,.0000189,0,.0000189,0,.0000378,51459,.0048777,.0001749,.0002138,.0018656,.0009522,.0005441,.0004858,.0006024,.0002138,0,.0000389,0,.0000583,0,.0000389,.0000389
"California","CA",1670537,.0024705,.0001125,.0001604,.0009195,.0004196,.0003023,.000188,.0003113,.0001694,4.79e-06,.0000377,.0000144,.0000144,6.58e-06,.000012,.0000227,836688,.0039788,.0001924,.0002307,.0015824,.0005677,.0005175,.0003358,.0004888,.0002558,7.17e-06,.0000705,.0000227,.0000287,.0000108,.0000203,.0000323,833635,.0009549,.0000324,.00009,.0002519,.0002711,.0000864,.0000396,.0001332,.0000828,2.40e-06,4.80e-06,6.00e-06,0,2.40e-06,3.60e-06,.0000132,325249,.0008732,.0000307,.0000738,.0002859,.0001353,.000123,.0000646,.0001291,.0000615,0,9.22e-06,3.07e-06,3.07e-06,6.15e-06,3.07e-06,6.15e-06,329998,.0010788,.0000455,.0000788,.0003455,.0001758,.000103,.0000818,.0001818,.0001121,0,9.09e-06,6.06e-06,0,0,9.09e-06,.0000212,317780,.0014507,.0000755,.0001259,.0004657,.0002643,.0001479,.0001259,.0002014,.0001196,9.44e-06,.000022,9.44e-06,6.29e-06,6.29e-06,6.29e-06,.0000157,312195,.0023127,.0001217,.000173,.0008168,.0004132,.0002979,.0001602,.0002787,.000173,0,.0000416,6.41e-06,.0000224,6.41e-06,.0000256,.0000192,385315,.0059795,.0002621,.0003218,.0024032,.0010018,.0007552,.0004568,.0006929,.0003478,.000013,.000096,.0000415,.0000363,.000013,.0000156,.0000467
"Colorado","CO",248585,.0028441,.0001207,.0002575,.0008528,.0004747,.0004184,.0002172,.0003862,.0002333,8.05e-06,.0000161,.0000161,8.05e-06,8.05e-06,.0000201,.0000443,125849,.0046723,.0002145,.0004052,.0014859,.0006834,.0007549,.0003655,.0006198,.0003496,7.95e-06,.0000238,.0000318,.0000159,.0000159,.0000397,.0000795,122717,.0009697,.0000244,.0001059,.0002037,.0002608,.0000733,.0000652,.0001467,.0001141,8.15e-06,8.15e-06,0,0,0,0,8.15e-06,32033,.0010614,.0000624,.0000937,.0002497,.0001561,.0001249,.0000312,.0002497,.0001561,0,0,0,0,.0000312,0,.0000312,45216,.0010616,.0000442,.0000442,.0002212,.0002433,.0001548,.0000885,.0001769,.0001327,0,0,.0000221,0,0,0,.0000221,51434,.0019442,0,.000175,.0006416,.0002722,.0003111,.0001944,.0002333,.0000972,0,0,0,0,0,0,0,56120,.0025659,.0000356,.0002851,.0006949,.0004811,.0002851,.0002495,.0003029,.0002673,0,0,0,0,0,0,.0000356,63782,.0059735,.0003763,.0005331,.0019128,.0009564,.0009564,.000392,.0007996,.0004233,.0000314,.0000627,.000047,.0000314,.0000157,.0000784,.0001097
"Connecticut","CT",174527,.0032316,.0001604,.0003209,.0009282,.000573,.0004698,.0004011,.000361,.0001776,5.73e-06,.0000286,0,.0000516,.0000172,5.73e-06,.0000516,87385,.0051611,.0002861,.0004577,.0015678,.0006866,.0008239,.0007209,.000618,.0002861,.0000114,.0000343,0,.000103,.0000343,.0000114,.0000915,87117,.0012971,.0000344,.0001837,.000287,.0004592,.0001148,.0000804,.0001033,.0000689,0,.000023,0,0,0,0,.0000115,21474,.0005122,.0000466,.0000466,.0002328,0,0,0,.0000931,.0001397,0,0,0,0,0,0,.0000466,24244,.0014024,.0001237,.0002475,.00033,.000165,.0002475,.0000825,.0002475,.0000825,0,.0000825,0,0,0,0,.0000412,29651,.0019224,.0000675,.0003035,.0005396,.0001686,.0002698,.0002024,.000371,.0000675,.0000337,0,0,0,0,0,.0000337,39525,.0028083,.0001771,.0003036,.0005819,.0005566,.0003795,.000506,.0003289,.0001518,0,.0000253,0,.0000759,.0000253,0,.0000506,59633,.005886,.0002515,.0004695,.0018446,.0011571,.0008888,.0007043,.0005198,.0003018,0,.0000335,0,.0001006,.0000335,.0000168,.0000671
"District of Columbia","DC",20319,.0009843,.0001476,.0000984,.0004429,.0000492,.0000984,.0000984,.0000984,.0000984,0,0,0,.0000492,0,0,.0000984,9918,.0017141,.0003025,0,.0009074,.0001008,.0002017,.0002017,.0001008,.0002017,0,0,0,.0001008,0,0,.0002017,10400,.0002885,0,.0001923,0,0,0,0,.0000962,0,0,0,0,0,0,0,0,6240,.0001603,.0001603,0,0,0,0,0,0,.0001603,0,0,0,0,0,0,.0001603,5960,.0001678,0,0,0,0,0,.0001678,0,0,0,0,0,0,0,0,0,3292,.0003038,0,0,0,0,0,0,.0003038,0,0,0,0,0,0,0,0,1795,.0005571,.0005571,0,0,0,0,0,0,.0005571,0,0,0,0,0,0,.0005571,3032,.005277,.0003298,.0006596,.0029683,.0003298,.0006596,.0003298,.0003298,0,0,0,0,.0003298,0,0,0
"Delaware","DE",45254,.0020551,.0000663,.0002431,.0006629,.0004861,.0002431,.0001326,.0002873,0,0,.0000221,0,0,0,.0000442,0,22844,.0032394,.0000438,.000394,.0010506,.0006566,.0004378,.0002627,.0004378,0,0,0,0,0,0,.0000438,0,22409,.0008479,.0000892,.0000892,.0002677,.0003124,.0000446,0,.0001339,0,0,.0000446,0,0,0,.0000446,0,7614,.0002627,0,0,.0001313,0,0,0,.0001313,0,0,0,0,0,0,0,0,8867,.0005639,0,.0001128,.0003383,.0001128,0,0,0,0,0,0,0,0,0,0,0,8606,.001162,0,.0002324,.0004648,.0002324,.0001162,.0001162,0,0,0,0,0,0,0,0,0,9567,.001986,.0002091,.0001045,.0004181,.0007317,.0002091,0,.0005226,0,0,.0001045,0,0,0,.0001045,0,10600,.0053774,.0000943,.0006604,.0016981,.0011321,.0007547,.0004717,.0006604,0,0,0,0,0,0,.0000943,0
"Florida","FL",670987,.0015827,.00007,.0001148,.0004516,.0002236,.0002295,.000155,.0002742,.0001341,1.49e-06,.0000179,2.98e-06,.0000119,1.49e-06,2.98e-06,.0000313,335565,.0024556,.0001132,.0001579,.000754,.0002742,.0003963,.0002652,.0004202,.0001877,0,.0000358,2.98e-06,.0000238,0,5.96e-06,.0000447,335369,.0007097,.0000268,.0000716,.0001491,.0001729,.0000626,.0000447,.0001282,.0000805,2.98e-06,0,2.98e-06,0,2.98e-06,0,.0000179,162591,.0004797,.0000308,.0000308,.0001292,.0000677,.0000431,.0000431,.0001107,.0000554,0,6.15e-06,0,0,0,0,.0000246,170677,.0009316,.0000293,.0000644,.0002812,.0001172,.0001348,.0000703,.0001758,.0000879,5.86e-06,0,0,.0000117,0,0,.0000117,137741,.0013141,.0000653,.0001016,.0003049,.0001742,.0001815,.0001597,.0002759,.0001162,0,.0000145,0,.0000218,0,0,.000029,106672,.0022124,.0000656,.0002062,.0006656,.0002625,.0004406,.0002062,.0003,.0001312,0,.0000281,0,0,9.37e-06,0,.0000281,93306,.0043727,.0002251,.0002679,.0012968,.0007181,.0005573,.0004394,.0007074,.0003858,0,.0000643,.0000214,.0000322,0,.0000214,.0000857
