super_opeid,instnm,count,count_pq1,count_pq2,count_pq3,count_pq4,count_pq5,inventor,inventor_pq1,inventor_pq2,inventor_pq3,inventor_pq4,inventor_pq5,top5cit,total_patents,total_cites
1,"University Of Hawaii And Hawaii Community Colleges",27002,3205,4527,5628,6957,6685,.001037,.000312,.0006627,.000533,.0007187,.0023934,.000069,22,55
4,"Coast Community College District",24340,4183,3829,4311,5066,6951,.0016434,.0011953,.0010447,.0011598,.0013818,.0027334,.0001198,76,333
13,"Kern & North Orange County Community College Districts",18765,2521,3091,3564,4410,5179,.0011191,.00119,0,.0014029,.000907,.0017378,4.69e-06,28,22
16,"San Mateo County Community College District",10936,1253,1658,2187,2513,3325,.0016459,.0023943,.0036188,.0004572,.0011938,.0015038,.0001055,35,2474
19,"Foothill-Deanza Community College District",16619,2245,2287,2798,3206,6083,.0031891,.003118,.0004373,.003574,.0018715,.0047674,.0001826,137,1497
21,"University Of Alaska System",16797,1526,2419,3362,4571,4919,.0007144,0,.0012402,0,.0013126,.0006099,0,19,26
22,"Spokane And Spokane Falls Community Colleges",11330,1648,2245,2851,2955,1631,.0008826,0,.0004454,.0003508,.0003384,.0042918,0,5,8
26,"University Of Colorado System",31081,1205,2257,3697,6042,17880,.0084618,.0033195,.0035445,.0059508,.0076134,.0102349,.0005655,513,1230
27,"West Valley-Mission Community College District",7671,711,899,1253,1796,3012,.0033894,.0056259,.0011123,.0015962,.0005568,.0059761,1.71e-06,32,622
40,"Louisiana State University System",29927,2611,3590,4783,7340,11603,.0025395,.001532,.0005571,.0022998,.0023161,.0036198,.0000393,87,118
63,"University Of South Carolina System",22910,2172,3249,4203,5648,7638,.0018769,0,.0021545,.0019034,.0012394,.0027494,.0000491,42,148
64,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",21615,1695,2900,4443,5754,6823,.0025908,.0023599,.002069,.0024758,.0022593,.0032244,.0000997,80,70
71,"University Of Nebraska System",28559,1388,3454,6116,8661,8940,.0041318,.0014409,.0026057,.0037606,.0046184,.0049217,.0001152,132,270
82,"Minnesota State University System, Century And Various Other Minnesota Community Colleges",129373,10815,19736,31377,39789,27656,.002002,.0010171,.0016214,.0024859,.0019603,.0021695,.0000922,471,1430
85,"Certain Colorado Community Colleges",38396,5149,6988,8435,9632,8192,.0010939,.0003884,0,.0008299,.0010382,.0028076,.0000772,53,229
91,"Devry University, Devry Institute Of Technology And Denver Technical College",29660,5721,6871,6721,6165,4182,.0021578,.0017479,.0014554,.0019342,.0032441,.0026303,.0001769,102,187
94,"ITT Technical Institute",37778,7779,9353,8976,7660,4010,.0015618,.0007713,.0013899,.0015597,.0019582,.0027431,.0000284,88,234
97,"Ivy Tech Community College Of Indiana System",39962,5617,7796,9982,10691,5876,.0006506,.0005341,.0007696,.0006011,.0006548,.0006807,.0000212,29,24
100,"Riverside Community College District",20731,2911,3691,4518,5525,4086,.0006753,0,.0008128,.0011067,.000543,.0007342,.000047,25,143
108,"University Of Pittsburgh System",22009,1188,2540,4322,6156,7803,.0065428,.0050505,.0082677,.005553,.0063353,.0069204,.0001806,206,89
125,"University Of Massachusetts System",31520,1940,3125,4934,8234,13287,.0063135,.0046392,.00608,.0062829,.0049794,.0074509,.0002085,256,830
129,"Harvard University",6819,228,364,523,892,4812,.0211175,.004386,.0137363,.0133843,.0179372,.0238986,.0011392,386,1003
133,"University Of Maine System",20796,2153,3595,5147,5755,4146,.003366,.0013934,.0027816,.0023315,.0038228,.0055475,0,102,51
1009,"Auburn University",18709,658,1367,2199,3985,10500,.004864,0,.0036576,.0027285,.0052698,.005619,.0004272,193,313
1051,"University Of Alabama",13883,886,1338,1917,3279,6463,.0018008,0,.0014948,.0020866,.0024398,.001702,.0000709,26,47
1055,"University Of Alabama In Huntsville",3061,243,349,587,891,991,.0075139,.0041152,.008596,.0034072,.0089787,.0090817,0,20,28
1089,"Arkansas Tech University",4612,679,1048,1198,1084,603,.0026019,0,.0009542,.0050083,.00369,.0016584,.0002674,13,21
1090,"Arkansas State University",9055,1535,2003,2207,2031,1279,.001767,.0006515,0,.0004531,.0054161,.0023456,.0000804,36,69
1108,"University Of Arkansas",10913,785,1324,1921,2606,4277,.003757,.0038217,.0015106,.0041645,.0065234,.0025719,.0000921,67,34
1117,"Azusa Pacific University",3480,157,337,561,782,1643,.0028736,.0063694,.0029674,.0017825,0,.0042605,0,13,63
1124,"Cabrillo College",7681,1066,1432,1403,1624,2156,.0019529,.0018762,.0006983,.0014255,.0012315,.0037106,.000128,22,120
1131,"California Institute Of Technology",861,81,39,84,149,508,.1370499,.0740741,.1282051,.1190476,.1677852,.1417323,.0152781,280,440
1137,"California State University, Fullerton",11375,1274,1532,1865,2557,4147,.0016703,.0007849,0,.0005362,.0015643,.0031348,.0001793,25,143
1139,"California State University, Long Beach",13428,1524,1916,2153,2939,4896,.0033512,.0019685,.0020877,.0032513,.004083,.0038807,.0000695,50,20
1143,"California Polytechnic State University",13986,542,905,1538,2840,8161,.017875,.0147601,.0143646,.0143043,.0169014,.0194829,.001358,501,1077
1144,"California State Polytechnic University, Pomona",9572,1428,1340,1491,2071,3242,.0075219,.0084034,.0044776,.0040241,.0062772,.0107958,0,151,59
1146,"California State University, Chico",9211,542,872,1236,1963,4598,.0016285,0,0,.0016181,.0025471,.0017399,6.42e-06,30,9
1147,"California State University, Fresno",8298,1223,1382,1416,1817,2460,.0012051,.0008177,0,.0014124,.0011007,.0020325,0,17,60
1151,"San Diego State University",15477,1406,1737,2306,3160,6868,.0035537,.002845,.0051813,.0021683,.0041139,.0034945,.0001235,63,163
1154,"San Francisco State University",8446,855,1119,1458,1856,3158,.0022496,.0023392,.0008937,.0006859,.002694,.0031666,.0001102,36,201
1155,"San Jose State University",9577,1213,1158,1455,2026,3725,.0061606,.004122,.0025907,.0061856,.0064166,.0077852,.0006268,127,376
1170,"Claremont Mckenna College",1175,54,81,111,174,755,.013617,.0185185,0,.018018,.0114943,.0145695,.0008537,31,66
1171,"Harvey Mudd College",733,22,40,102,162,407,.1200546,.0454545,.125,.127451,.0740741,.1400491,.0127309,190,180
1173,"Pomona College",1555,71,77,125,184,1098,.0135048,.0140845,.012987,.016,0,.0154827,0,33,121
1192,"Cuesta College",8749,1002,1255,1785,2154,2553,.0020574,.001996,.0023904,.0016807,.0013928,.0027419,0,21,60
1219,"Long Beach City College",13274,3340,2937,2584,2303,2110,.0007534,.0005988,0,.000387,.0013026,.0018957,0,37,399
1239,"Miracosta College",6427,925,1088,1296,1441,1677,.0024895,.0043243,.0018382,.0007716,.0041638,.0017889,.000154,8,82
1245,"Mount San Antonio College",19713,3351,3827,4116,4356,4063,.0010146,.0008953,.0015678,.0004859,.0006887,.0014767,.0001014,30,228
1260,"Palomar College",16293,1942,2792,3323,4008,4228,.0017799,.0005149,.0007163,.0015047,.0022455,.0028382,.0001153,56,132
1261,"Pasadena City College",13331,3753,2896,2511,2069,2102,.0018003,.0021316,.0013812,.001593,.0019333,.0019029,0,30,176
1262,"Point Loma Nazarene University",2476,95,237,389,536,1219,.0048465,0,0,.0077121,.0074627,.0041017,.0000992,26,4
1280,"San Joaquin Delta College",10380,1790,1824,2079,2629,2058,.0010597,.0005587,.0005482,.002405,.0007607,.0009718,1.53e-06,15,0
1285,"Santa Barbara City College",8380,871,1293,1431,1702,3083,.00358,.0011481,.0030936,.0020964,.0023502,.0058385,.0001017,23,205
1286,"Santa Monica College",11641,2742,2497,2130,1705,2567,.0016322,.0014588,.0016019,.0014085,.002346,.0015582,0,15,14
1287,"Santa Rosa Junior College",11270,1188,1693,2292,2975,3122,.0022183,.0025253,.0005907,.0008726,.0020168,.004164,.0001924,39,62
1290,"Sierra College",13782,1197,1905,2719,3776,4185,.0013061,.0008354,.0005249,.0014711,.0013242,.0016726,.0000723,29,448
1305,"Stanford University",6755,267,424,603,867,4594,.0602517,.0337079,.0424528,.0331675,.0495963,.069003,.0051842,1309,2155
1312,"University Of California, Berkeley",19443,1840,2035,2392,3138,10038,.0234532,.0173913,.0206388,.013796,.0184831,.0289898,.000868,919,1838
1313,"University Of California, Davis",18423,1628,1875,2321,3488,9111,.009499,.0061425,.0053333,.0120638,.0063073,.0115245,.0001467,231,176
1314,"University Of California, Irvine",14748,1704,1746,2067,2795,6436,.0084757,.0046948,.0051546,.0111272,.0085868,.0094779,.0004744,174,879
1315,"University Of California, Los Angeles",20325,2264,2428,2532,3282,9819,.0111193,.0079505,.0065898,.0051343,.0131018,.0138507,.0003987,354,312
1316,"University Of California, Riverside",11061,1646,1841,1953,2106,3515,.0043396,.0018226,.0010864,.0035842,.0042735,.0076814,.0002016,43,359
1317,"University Of California, San Diego",15391,1466,1605,1999,2725,7596,.0200117,.0136426,.0137072,.0135068,.0209174,.02396,.0008973,497,1075
1320,"University Of California, Santa Barbara",15825,1002,1487,1938,2660,8738,.0107425,.003992,.004035,.0082559,.0116541,.012932,.0003723,280,430
1321,"University Of California, Santa Cruz",11303,823,1047,1474,2036,5923,.0070778,.0060753,.0057307,.0040706,.0068762,.0082728,.0001781,118,453
1326,"Santa Clara University",4648,162,248,438,707,3093,.0114028,.0061728,.0080645,.0182648,.0028289,.0129324,.0004788,61,178
1328,"University Of Southern California",13653,924,1264,1700,2018,7747,.0082766,.0064935,.0063291,.0070588,.0054509,.0098102,.0001518,229,1283
1329,"University Of The Pacific",2859,311,312,496,529,1211,.0059461,.0096463,.0096154,.0080645,.0018904,.0049546,7.72e-06,14,0
1347,"Colorado College",2449,127,183,275,338,1526,.0044916,0,0,0,.0029586,.0065531,0,21,16
1348,"Colorado School Of Mines",2433,85,202,405,595,1146,.0435676,.0470588,.0247525,.0493827,.0369748,.047993,.0008104,246,1114
1349,"University Of Northern Colorado",9906,479,1006,1671,2743,4007,.0017161,.006263,.0019881,.0017953,.0010937,.0014974,.0001195,34,94
1350,"Colorado State University",19202,648,1565,2629,4465,9895,.0055723,.0030864,.0057508,.0072271,.0049272,.0055584,.0002616,212,1749
1360,"Metropolitan State University Of Denver",10577,782,1463,2060,2936,3336,.00104,.0012788,.0013671,.0009709,.0006812,.001199,8.79e-06,7,19
1371,"University Of Denver",3967,151,235,431,641,2509,.0073103,.013245,.0085106,0,.0062402,.0083699,.0002416,48,240
1385,"Fairfield University",3864,90,181,282,624,2687,.0028468,.0111111,0,.0035461,0,.0033495,3.34e-08,21,16
1417,"University Of Connecticut",16144,701,1286,2198,4150,7809,.0058845,.0014265,.0031104,.0068244,.0045783,.0071712,.0001111,194,2181
1422,"University Of Hartford",4605,214,396,694,1177,2124,.0026059,0,.0025253,.0014409,.0042481,.002354,.0002171,21,10
1424,"Wesleyan University",3063,95,171,255,430,2112,.0042442,.0105263,.005848,0,.0139535,.0023674,0,9,0
1426,"Yale University",5183,215,268,382,615,3703,.0171715,.0046512,.0074627,.0078534,.0162602,.0197137,.0013456,173,188
1431,"University Of Delaware",16339,420,936,1659,3382,9942,.0058755,.0047619,.0032051,.0048222,.005618,.0064373,.0001827,141,214
1434,"American University ",5332,251,387,541,901,3252,.0028132,0,.002584,0,.0011099,.0039975,0,18,33
1444,"George Washington University",10088,497,776,1090,1488,6237,.0041634,.0020121,0,.0018349,.0033602,.0054513,.0003141,68,125
1445,"Georgetown University",6522,227,303,463,744,4785,.0045998,0,.0033003,.0043197,.0026882,.0052247,.0001486,34,137
1469,"Florida Institute Of Technology",1685,129,221,327,408,600,.0225519,.0232558,.0226244,.0122324,.0171569,.0316667,.0012214,62,14
1479,"Embry-Riddle Aeronautical University",6115,444,783,1096,1475,2317,.0075225,.009009,.0063857,.0082117,.0074576,.0073371,0,48,219
1480,"Florida Agricultural & Mechanical University",10082,1810,2638,2155,1776,1703,.0011902,.001105,.0007582,.0009281,.0011261,.0023488,.0001996,15,55
1489,"Florida State University",26293,1769,3279,4572,6057,10616,.0025482,.0033917,.0018298,.0019685,.0028067,.0027317,.0001166,101,195
1500,"Broward College",19230,3858,4344,3756,3643,3629,.000676,0,.0016114,.0007987,.000549,.0002756,0,26,109
1515,"Rollins College",1867,122,178,292,291,984,.0058918,0,0,0,.0034364,.0101626,.00053,23,117
1520,"Seminole State College Of Florida",7703,1195,1646,1881,1722,1259,.0012982,.0008368,.0012151,.0015949,.0011614,.0015886,.0000117,27,40
1533,"Tallahassee Community College",11177,2127,2534,2295,2187,2034,.0010736,.0004701,.0011839,.0004357,.0009145,.0024582,4.48e-06,14,15
