year,age,cohort,count,total_inc_p10,total_inc_p20,total_inc_p30,total_inc_p40,total_inc_p50,total_inc_p60,total_inc_p70,total_inc_p80,total_inc_p90,total_inc_p99,total_inc_mean,w2_inc_p10,w2_inc_p20,w2_inc_p30,w2_inc_p40,w2_inc_p50,w2_inc_p60,w2_inc_p70,w2_inc_p80,w2_inc_p90,w2_inc_p99,w2_inc_mean,nw_inc_p10,nw_inc_p20,nw_inc_p30,nw_inc_p40,nw_inc_p50,nw_inc_p60,nw_inc_p70,nw_inc_p80,nw_inc_p90,nw_inc_p99,nw_inc_mean
1999,25,1974,25677,0,2600,16000,25100,36500,48200,59100,69600,86400,208700,46100,0,1600,13900,23200,34200,46500,57300,67000,81700,158300,40900,-1900,-200,0,0,0,0,400,2000,8900,74500,5200
1999,26,1973,26323,0,6500,20600,30200,43400,55000,64900,76500,96900,232600,57200,0,5400,18800,27600,41300,52900,62700,73100,90900,173200,46300,-2200,-300,0,0,0,100,800,2800,11500,97600,10900
1999,27,1972,28221,0,9800,23600,37000,49900,60500,71200,84600,108000,293800,64800,0,8900,21800,34300,47700,58100,68100,80000,100100,211000,53300,-2800,-300,0,0,0,200,1100,3800,15000,118500,11500
1999,28,1971,30511,0,15200,29300,44200,56000,66900,78000,93000,120200,396800,79600,0,14000,26900,41800,53900,64000,74000,87300,108700,260000,60700,-3300,-300,0,0,100,500,1700,5200,18100,163900,18900
1999,29,1970,32907,0,19200,34900,49500,61500,72600,84800,101100,132100,526100,88600,0,17200,32100,47000,58500,68900,79800,94000,118400,307500,69400,-3700,-200,0,0,200,800,2300,6600,22100,198900,19200
1999,30,1969,32922,0,22400,41200,55600,67600,79300,92300,110000,146000,606100,96800,0,20800,38200,52900,64200,74900,86400,101400,128200,376900,78100,-4000,-300,0,0,300,1200,3100,8200,25800,221900,18600
1999,31,1968,32971,500,25800,45700,60300,72700,84900,98800,118600,159100,774600,113600,0,23000,42500,57000,68400,79800,91800,108100,137500,448800,85300,-4100,-100,0,0,500,1600,3900,10200,30800,299600,28300
1999,32,1967,32864,3500,32900,51700,65700,78200,90700,105400,127100,174400,914800,129700,1200,28400,48200,61600,73400,84500,97200,114700,148100,524800,93000,-4200,-100,0,100,700,1900,4600,11500,35000,362000,36700
1999,33,1966,33674,5900,36300,55000,69400,82100,95200,110900,134600,186700,1014500,138600,3200,32000,51200,65000,76800,88300,101600,120100,157100,564600,97600,-4400,-100,0,200,900,2200,5400,13200,39200,445400,41000
1999,34,1965,35321,8000,39400,58700,73500,86600,100100,116800,143100,203600,1230100,155000,4400,34700,54400,68400,80600,92300,106000,126100,167200,661200,107800,-4600,0,0,300,1200,2700,6400,15100,43900,528300,47200
1999,35,1964,37970,9600,41900,61200,76200,89400,103400,121000,147800,212300,1190000,159200,6600,37500,56900,71100,83200,95100,109800,130800,175300,659300,110700,-5200,-100,0,400,1400,3100,6800,15800,44400,546500,48500
1999,36,1963,39601,11800,44700,64100,79200,93000,107400,125600,154400,223200,1454900,162000,7900,40000,59500,73900,86100,98300,113500,135200,181200,740300,117100,-5400,-100,0,500,1500,3400,7600,17200,47400,600900,44900
1999,37,1962,39338,15900,48600,68000,83000,96500,111400,130700,162900,237600,1453000,175100,11100,43800,62800,76800,89100,101600,117500,140800,191200,771100,121100,-5600,-100,0,600,1700,3900,8500,19200,53400,646000,54100
1999,38,1961,38372,17900,50700,70200,85200,98900,114800,135500,167700,250500,1624000,195400,11900,45200,64100,78500,90900,104300,120900,145200,199500,851700,125900,-5800,0,0,700,1900,4200,9000,20100,56000,768100,69500
1999,39,1960,37428,18100,52200,71900,87600,102200,118400,139900,174000,261100,1608000,192600,12200,46400,65900,80600,93700,107100,123800,148900,205400,843900,127900,-6500,0,0,800,2000,4500,9800,21600,60400,824200,64700
