kid_race,gender,count,kir_q1,kir_q2,kir_q3,kir_q4,kir_q5,kfr_q1,kfr_q2,kfr_q3,kfr_q4,kfr_q5,par_q1,par_q2,par_q3,par_q4,par_q5,kir_q1_cond_par_q1,kir_q1_cond_par_q2,kir_q1_cond_par_q3,kir_q1_cond_par_q4,kir_q1_cond_par_q5,kir_q2_cond_par_q1,kir_q2_cond_par_q2,kir_q2_cond_par_q3,kir_q2_cond_par_q4,kir_q2_cond_par_q5,kir_q3_cond_par_q1,kir_q3_cond_par_q2,kir_q3_cond_par_q3,kir_q3_cond_par_q4,kir_q3_cond_par_q5,kir_q4_cond_par_q1,kir_q4_cond_par_q2,kir_q4_cond_par_q3,kir_q4_cond_par_q4,kir_q4_cond_par_q5,kir_q5_cond_par_q1,kir_q5_cond_par_q2,kir_q5_cond_par_q3,kir_q5_cond_par_q4,kir_q5_cond_par_q5,kfr_q1_cond_par_q1,kfr_q1_cond_par_q2,kfr_q1_cond_par_q3,kfr_q1_cond_par_q4,kfr_q1_cond_par_q5,kfr_q2_cond_par_q1,kfr_q2_cond_par_q2,kfr_q2_cond_par_q3,kfr_q2_cond_par_q4,kfr_q2_cond_par_q5,kfr_q3_cond_par_q1,kfr_q3_cond_par_q2,kfr_q3_cond_par_q3,kfr_q3_cond_par_q4,kfr_q3_cond_par_q5,kfr_q4_cond_par_q1,kfr_q4_cond_par_q2,kfr_q4_cond_par_q3,kfr_q4_cond_par_q4,kfr_q4_cond_par_q5,kfr_q5_cond_par_q1,kfr_q5_cond_par_q2,kfr_q5_cond_par_q3,kfr_q5_cond_par_q4,kfr_q5_cond_par_q5
All,P,21310000,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.2,.3017,.2323,.188,.1521,.1259,.2687,.2365,.201,.1663,.1276,.1968,.2205,.2208,.2058,.1561,.1365,.1791,.2152,.2419,.2273,.0964,.1317,.175,.2339,.363,.3374,.2472,.1819,.1333,.1002,.2843,.2522,.202,.1562,.1053,.1833,.2164,.2251,.2114,.1638,.1207,.1699,.22,.2523,.237,.0742,.1143,.1711,.2467,.3937
White,F,6599000,.2033,.2231,.2119,.1983,.1634,.1355,.1707,.1938,.2331,.2669,.1173,.1602,.2137,.2451,.2637,.3028,.2469,.2114,.1782,.1492,.3066,.2747,.2429,.2038,.1564,.1997,.2272,.2362,.2274,.1739,.1192,.1568,.19,.2279,.2381,.0718,.0944,.1195,.1627,.2824,.2666,.1903,.1402,.1003,.0727,.2652,.2317,.1925,.1484,.0948,.1902,.2113,.2155,.2028,.1588,.1626,.2069,.242,.2646,.2438,.1154,.1598,.2098,.2839,.4298
White,M,6891000,.1392,.1428,.1843,.2381,.2956,.1663,.1566,.2047,.2355,.2366,.1168,.1591,.2146,.2467,.2628,.2595,.1868,.1403,.1068,.0865,.2151,.1844,.1524,.1229,.0964,.1974,.2136,.2094,.186,.1386,.1798,.2238,.2569,.2708,.2266,.1482,.1915,.2409,.3135,.452,.3134,.2267,.1685,.1268,.0999,.2286,.2043,.1721,.1373,.1013,.2018,.2277,.2322,.2135,.1619,.1594,.2064,.2469,.272,.2438,.0967,.1349,.1804,.2504,.3932
White,P,13490000,.1706,.1821,.1978,.2186,.231,.1512,.1635,.1993,.2344,.2514,.117,.1596,.2142,.2459,.2632,.2807,.2163,.175,.1416,.1172,.2599,.2287,.1966,.1623,.1258,.1986,.2203,.2225,.2062,.1559,.1501,.1909,.2243,.2499,.2322,.1107,.1438,.1817,.24,.3689,.2905,.2088,.1547,.1139,.0865,.2466,.2178,.1821,.1427,.0981,.1961,.2197,.2241,.2083,.1604,.161,.2067,.2445,.2684,.2438,.1059,.1471,.1947,.2667,.4111
Black,F,1402000,.1698,.3344,.2525,.1491,.0941,.2165,.4142,.2122,.102,.0551,.3803,.2984,.1651,.0998,.0563,.2047,.1647,.1446,.1278,.1101,.4021,.3384,.2841,.2368,.1756,.2366,.269,.2661,.261,.2179,.1045,.1467,.185,.2147,.242,.0521,.0811,.1202,.1598,.2543,.2684,.2124,.1783,.1493,.1177,.4759,.4318,.3667,.3121,.2258,.1675,.2193,.2526,.2679,.2594,.0626,.0936,.1316,.166,.2116,.0256,.0428,.0707,.1047,.1855
Black,M,1348000,.3015,.2285,.1952,.1563,.1185,.3935,.2692,.1829,.1005,.054,.3726,.2952,.168,.1042,.06,.3753,.2994,.2501,.2051,.1644,.2521,.2352,.212,.1915,.1597,.1789,.2031,.2099,.211,.1891,.1201,.1568,.1839,.2054,.2166,.0737,.1055,.1441,.187,.2701,.4848,.3938,.3297,.2715,.2153,.2786,.2829,.2638,.2437,.2028,.1474,.1877,.2136,.2264,.2181,.0643,.0931,.126,.1584,.1899,.025,.0425,.0668,.1001,.1738
Black,P,2750000,.2343,.2825,.2244,.1527,.1061,.3032,.3432,.1978,.1012,.0545,.3765,.2969,.1665,.102,.0581,.2874,.2303,.1968,.1665,.1376,.3294,.2881,.2485,.2141,.1676,.2086,.2369,.2383,.236,.2034,.112,.1516,.1845,.21,.2292,.0626,.093,.132,.1734,.2623,.3733,.3008,.2532,.2104,.1671,.3802,.3592,.3158,.2779,.2142,.1577,.2039,.2333,.2471,.2385,.0634,.0934,.1288,.1622,.2006,.0253,.0427,.0688,.1024,.1797
Asian,F,335000,.1488,.1527,.16,.2006,.3379,.1041,.1293,.1708,.2076,.3882,.2315,.1933,.1725,.1704,.2323,.1801,.1613,.149,.1332,.1187,.2037,.1706,.1511,.1295,.1053,.1745,.1757,.178,.1625,.1172,.186,.2039,.2115,.2202,.1899,.2557,.2885,.3104,.3546,.4689,.1319,.1149,.1023,.0895,.0796,.1798,.1514,.1326,.1076,.0742,.1887,.1869,.1864,.1728,.1265,.1982,.2112,.217,.2207,.1971,.3015,.3356,.3616,.4093,.5224
Asian,M,350000,.1372,.134,.1533,.201,.3745,.158,.1468,.1873,.2052,.3028,.239,.1948,.1739,.1669,.2253,.1698,.1509,.1318,.1192,.108,.1873,.1507,.1295,.11,.0842,.1711,.1709,.1688,.1522,.1082,.1917,.21,.2227,.2208,.1718,.2801,.3174,.3472,.3978,.5279,.1986,.1751,.1545,.1359,.1191,.1953,.1651,.1479,.1283,.0922,.2029,.2055,.2076,.1907,.1368,.1911,.2061,.2166,.2251,.196,.2121,.2482,.2735,.3201,.4559
Asian,P,685000,.1429,.1432,.1566,.2008,.3566,.1316,.1382,.1791,.2064,.3446,.2353,.1941,.1733,.1686,.2287,.1748,.156,.1402,.1261,.1133,.1952,.1604,.14,.1197,.0947,.1727,.1733,.1733,.1573,.1127,.189,.2071,.2172,.2205,.1808,.2684,.3033,.3293,.3764,.4986,.1665,.1457,.1291,.113,.0995,.1878,.1584,.1404,.118,.0833,.196,.1964,.1972,.1819,.1317,.1945,.2086,.2168,.2229,.1966,.2551,.2908,.3165,.3642,.4889
