percentile,kid_hh_income,kid_indiv_income,parent_hh_income
1,-89050,-30110,1260
2,0,-477,3143
3,0,0,4714
4,0,0,6106
5,0,0,7376
6,0,0,8553
7,0,0,9660
8,0,0,10720
9,0,0,11740
10,0,0,12730
11,72,0,13690
12,399,0,14630
13,1244,17,15560
14,2345,112,16470
15,3640,416,17380
16,4938,875,18290
17,6210,1447,19190
18,7483,2110,20100
19,8739,2838,21000
20,9929,3620,21910
21,11050,4435,22830
22,12150,5236,23750
23,13180,6072,24680
24,14140,6914,25620
25,15080,7748,26570
26,16020,8604,27530
27,17000,9457,28500
28,18000,10280,29490
29,19010,11120,30500
30,20040,11960,31520
31,21080,12790,32550
32,22110,13600,33600
33,23150,14380,34670
34,24200,15170,35750
35,25230,15990,36850
36,26280,16820,37970
37,27320,17670,39110
38,28370,18530,40260
39,29420,19400,41430
40,30480,20260,42610
41,31540,21130,43800
42,32620,21990,45020
43,33710,22860,46250
44,34800,23730,47480
45,35910,24590,48730
46,37040,25450,49990
47,38180,26310,51270
48,39330,27160,52550
49,40510,28020,53840
50,41710,28870,55150
51,42920,29730,56460
52,44170,30590,57790
53,45440,31440,59120
54,46740,32300,60460
55,48060,33160,61820
56,49420,34020,63180
57,50810,34890,64560
58,52240,35770,65950
59,53700,36660,67350
60,55200,37550,68770
61,56740,38440,70210
62,58310,39350,71670
63,59930,40260,73140
64,61570,41190,74650
65,63270,42140,76170
66,64990,43100,77720
67,66750,44080,79290
68,68550,45080,80900
69,70370,46110,82540
70,72240,47170,84210
71,74160,48270,85920
72,76110,49390,87680
73,78100,50570,89490
74,80140,51780,91340
75,82230,53050,93260
76,84380,54370,95250
77,86600,55740,97310
78,88890,57180,99460
79,91260,58700,101700
80,93720,60300,104000
81,96290,61990,106500
82,98990,63780,109100
83,101800,65690,111900
84,104800,67710,114800
85,108000,69880,118000
86,111500,72200,121400
87,115200,74700,125100
88,119300,77410,129200
89,123800,80400,133700
90,128800,83690,138800
91,134500,87390,144600
92,141100,91580,151400
93,148800,96450,159500
94,158000,102200,169600
95,169400,109300,182700
96,184100,118400,200800
97,204500,131100,228200
98,236400,150800,274700
99,298300,189300,373300
100,807600,496300,1126000
