gdp,date,pres,party,pct_change
"2,697.9",1/1/53,Eisenhower,Republican,0.0
"2,718.7",4/1/53,Eisenhower,Republican,0.8
"2,703.4",7/1/53,Eisenhower,Republican,0.2
"2,662.5",10/1/53,Eisenhower,Republican,-1.3
"2,649.8",1/1/54,Eisenhower,Republican,-1.8
"2,652.6",4/1/54,Eisenhower,Republican,-1.7
"2,682.6",7/1/54,Eisenhower,Republican,-0.6
"2,735.1",10/1/54,Eisenhower,Republican,1.4
"2,813.2",1/1/55,Eisenhower,Republican,4.3
"2,859.0",4/1/55,Eisenhower,Republican,6.0
"2,897.6",7/1/55,Eisenhower,Republican,7.4
"2,915.0",10/1/55,Eisenhower,Republican,8.0
"2,903.7",1/1/56,Eisenhower,Republican,7.6
"2,927.7",4/1/56,Eisenhower,Republican,8.5
"2,925.0",7/1/56,Eisenhower,Republican,8.4
"2,973.2",10/1/56,Eisenhower,Republican,10.2
"2,992.2",1/1/57,Eisenhower,Republican,10.9
"2,985.7",4/1/57,Eisenhower,Republican,10.7
"3,014.9",7/1/57,Eisenhower,Republican,11.7
"2,983.7",10/1/57,Eisenhower,Republican,10.6
"2,906.3",1/1/58,Eisenhower,Republican,7.7
"2,925.4",4/1/58,Eisenhower,Republican,8.4
"2,993.1",7/1/58,Eisenhower,Republican,10.9
"3,063.1",10/1/58,Eisenhower,Republican,13.5
"3,121.9",1/1/59,Eisenhower,Republican,15.7
"3,192.4",4/1/59,Eisenhower,Republican,18.3
"3,194.7",7/1/59,Eisenhower,Republican,18.4
"3,203.8",10/1/59,Eisenhower,Republican,18.8
"3,275.8",1/1/60,Eisenhower,Republican,21.4
"3,258.1",4/1/60,Eisenhower,Republican,20.8
"3,274.0",7/1/60,Eisenhower,Republican,21.4
"3,232.0",10/1/60,Eisenhower,Republican,19.8
"3,253.8",1/1/61,Kennedy,Democrat,0.0
"3,309.1",4/1/61,Kennedy,Democrat,1.7
"3,372.6",7/1/61,Kennedy,Democrat,3.7
"3,438.7",10/1/61,Kennedy,Democrat,5.7
"3,500.1",1/1/62,Kennedy,Democrat,7.6
"3,531.7",4/1/62,Kennedy,Democrat,8.5
"3,575.1",7/1/62,Kennedy,Democrat,9.9
"3,586.8",10/1/62,Kennedy,Democrat,10.2
"3,626.0",1/1/63,Kennedy,Democrat,11.4
"3,666.7",4/1/63,Kennedy,Democrat,12.7
"3,747.3",7/1/63,Kennedy,Democrat,15.2
"3,771.8",10/1/63,Johnson,Democrat,0.0
"3,851.4",1/1/64,Johnson,Democrat,2.1
"3,893.3",4/1/64,Johnson,Democrat,3.2
"3,954.1",7/1/64,Johnson,Democrat,4.8
"3,966.3",10/1/64,Johnson,Democrat,5.2
"4,062.3",1/1/65,Johnson,Democrat,7.7
"4,113.6",4/1/65,Johnson,Democrat,9.1
"4,205.1",7/1/65,Johnson,Democrat,11.5
"4,302.0",10/1/65,Johnson,Democrat,14.1
"4,406.7",1/1/66,Johnson,Democrat,16.8
"4,421.7",4/1/66,Johnson,Democrat,17.2
"4,459.2",7/1/66,Johnson,Democrat,18.2
"4,495.8",10/1/66,Johnson,Democrat,19.2
"4,535.6",1/1/67,Johnson,Democrat,20.3
"4,538.4",4/1/67,Johnson,Democrat,20.3
"4,581.3",7/1/67,Johnson,Democrat,21.5
"4,615.9",10/1/67,Johnson,Democrat,22.4
"4,710.0",1/1/68,Johnson,Democrat,24.9
"4,788.7",4/1/68,Johnson,Democrat,27.0
"4,825.8",7/1/68,Johnson,Democrat,27.9
"4,844.8",10/1/68,Johnson,Democrat,28.4
"4,920.6",1/1/69,Nixon,Republican,0.0
"4,935.6",4/1/69,Nixon,Republican,0.3
"4,968.2",7/1/69,Nixon,Republican,1.0
"4,943.9",10/1/69,Nixon,Republican,0.5
"4,936.6",1/1/70,Nixon,Republican,0.3
"4,943.6",4/1/70,Nixon,Republican,0.5
"4,989.2",7/1/70,Nixon,Republican,1.4
"4,935.7",10/1/70,Nixon,Republican,0.3
"5,069.7",1/1/71,Nixon,Republican,3.0
"5,097.2",4/1/71,Nixon,Republican,3.6
"5,139.1",7/1/71,Nixon,Republican,4.4
"5,151.2",10/1/71,Nixon,Republican,4.7
"5,246.0",1/1/72,Nixon,Republican,6.6
"5,365.0",4/1/72,Nixon,Republican,9.0
"5,415.7",7/1/72,Nixon,Republican,10.1
"5,506.4",10/1/72,Nixon,Republican,11.9
"5,642.7",1/1/73,Nixon,Republican,14.7
"5,704.1",4/1/73,Nixon,Republican,15.9
"5,674.1",7/1/73,Nixon,Republican,15.3
"5,728.0",10/1/73,Nixon,Republican,16.4
"5,678.7",1/1/74,Nixon,Republican,15.4
"5,692.2",4/1/74,Nixon,Republican,15.7
"5,638.4",7/1/74,Ford,Republican,0.0
"5,616.5",10/1/74,Ford,Republican,-0.4
"5,548.2",1/1/75,Ford,Republican,-1.6
"5,587.8",4/1/75,Ford,Republican,-0.9
"5,683.4",7/1/75,Ford,Republican,0.8
"5,760.0",10/1/75,Ford,Republican,2.2
"5,889.5",1/1/76,Ford,Republican,4.5
"5,932.7",4/1/76,Ford,Republican,5.2
"5,965.3",7/1/76,Ford,Republican,5.8
"6,008.5",10/1/76,Ford,Republican,6.6
"6,079.5",1/1/77,Carter,Democrat,0.0
"6,197.7",4/1/77,Carter,Democrat,1.9
"6,309.5",7/1/77,Carter,Democrat,3.8
"6,309.7",10/1/77,Carter,Democrat,3.8
"6,329.8",1/1/78,Carter,Democrat,4.1
"6,574.4",4/1/78,Carter,Democrat,8.1
"6,640.5",7/1/78,Carter,Democrat,9.2
"6,729.8",10/1/78,Carter,Democrat,10.7
"6,741.9",1/1/79,Carter,Democrat,10.9
"6,749.1",4/1/79,Carter,Democrat,11.0
"6,799.2",7/1/79,Carter,Democrat,11.8
"6,816.2",10/1/79,Carter,Democrat,12.1
"6,837.6",1/1/80,Carter,Democrat,12.5
"6,696.8",4/1/80,Carter,Democrat,10.2
"6,688.8",7/1/80,Carter,Democrat,10.0
"6,813.5",10/1/80,Carter,Democrat,12.1
"6,947.0",1/1/81,Reagan,Republican,0.0
"6,895.6",4/1/81,Reagan,Republican,-0.7
"6,978.1",7/1/81,Reagan,Republican,0.4
"6,902.1",10/1/81,Reagan,Republican,-0.6
"6,794.9",1/1/82,Reagan,Republican,-2.2
"6,825.9",4/1/82,Reagan,Republican,-1.7
"6,799.8",7/1/82,Reagan,Republican,-2.1
"6,802.5",10/1/82,Reagan,Republican,-2.1
"6,892.1",1/1/83,Reagan,Republican,-0.8
"7,049.0",4/1/83,Reagan,Republican,1.5
"7,189.9",7/1/83,Reagan,Republican,3.5
"7,339.9",10/1/83,Reagan,Republican,5.7
"7,483.4",1/1/84,Reagan,Republican,7.7
"7,612.7",4/1/84,Reagan,Republican,9.6
"7,686.1",7/1/84,Reagan,Republican,10.6
"7,749.2",10/1/84,Reagan,Republican,11.5
"7,824.2",1/1/85,Reagan,Republican,12.6
"7,893.1",4/1/85,Reagan,Republican,13.6
"8,013.7",7/1/85,Reagan,Republican,15.4
"8,073.2",10/1/85,Reagan,Republican,16.2
"8,148.6",1/1/86,Reagan,Republican,17.3
"8,185.3",4/1/86,Reagan,Republican,17.8
"8,263.6",7/1/86,Reagan,Republican,19.0
"8,308.0",10/1/86,Reagan,Republican,19.6
"8,369.9",1/1/87,Reagan,Republican,20.5
"8,460.2",4/1/87,Reagan,Republican,21.8
"8,533.6",7/1/87,Reagan,Republican,22.8
"8,680.2",10/1/87,Reagan,Republican,24.9
