Year	Oppose	Dont_know	Favor
1972	0.267701863	0.029813665	0.702484472
1973	0.248160535	0.016722408	0.735117057
1974	0.23493568	0.012186865	0.752877454
1975	0.237903226	0.025537634	0.73655914
1976	0.270596115	0.01406564	0.715338245
1977	0.265052356	0.018979058	0.715968586
1980	0.286980232	0.019086571	0.693933197
1982	0.25188781	0.021574973	0.726537217
1984	0.26993865	0.025221541	0.704839809
1985	0.265359477	0.012418301	0.722222222
1987	0.262114537	0.019823789	0.718061674
1988	0.236382323	0.02672148	0.736896197
1989	0.205625606	0.015518914	0.77885548
1990	0.195842451	0.01750547	0.786652079
1991	0.177125506	0.012145749	0.810728745
1993	0.172253259	0.017690875	0.810055866
1994	0.204225352	0.015593561	0.780181087
1996	0.176133403	0.019280875	0.804585722
1998	0.160723789	0.022352315	0.816923896
2000	0.178782983	0.024771136	0.79644588
2002	0.193932828	0.007583965	0.798483207
2004	0.202898551	0.006688963	0.790412486
2006	0.197697698	0.017517518	0.784784785
2008	0.209474463	0.013323464	0.777202073
2010	0.253125	0.00703125	0.73984375
2012	0.259969325	0.016104294	0.72392638
2014	0.274269006	0.00994152	0.715789474
2016	0.280403611	0.013276686	0.706319703
