SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV
10,0,0,0,United States,0,0,3944160,3951400,3963239,3926677,3931346,3955374,3975414,3970145
10,0,0,0,United States,0,1,3978090,3957847,3966617,3978101,3943114,3950083,3974980,3995008
10,0,0,0,United States,0,2,4096939,4090856,3971363,3980016,3992752,3959663,3967361,3992154
10,0,0,0,United States,0,3,4119051,4111929,4102483,3982920,3992660,4006960,3974468,3982074
10,0,0,0,United States,0,4,4063186,4077557,4122286,4112795,3994261,4005464,4020276,3987656
10,0,0,0,United States,0,5,4056872,4064668,4087725,4132182,4123377,4006157,4017851,4032515
10,0,0,0,United States,0,6,4066412,4073030,4075014,4097594,4142405,4134879,4018078,4029655
10,0,0,0,United States,0,7,4030594,4043061,4083248,4084860,4107844,4153950,4146894,4029991
10,0,0,0,United States,0,8,4046497,4025611,4053203,4093177,4095312,4119668,4166268,4159114
10,0,0,0,United States,0,9,4148369,4125437,4035726,4063137,4103576,4107164,4132039,4178524
10,0,0,0,United States,0,10,4172559,4187071,4135600,4045727,4073174,4115125,4119192,4144019
10,0,0,0,United States,0,11,4114443,4115530,4197442,4145830,4055791,4084781,4127249,4131222
10,0,0,0,United States,0,12,4106261,4113300,4126058,4207825,4156117,4067624,4097134,4139558
10,0,0,0,United States,0,13,4118055,4119682,4124117,4136417,4218330,4168220,4080286,4109703
10,0,0,0,United States,0,14,4166059,4145632,4131365,4135100,4147720,4231211,4181718,4093731
10,0,0,0,United States,0,15,4242946,4231028,4158745,4143587,4147913,4162368,4246545,4196991
10,0,0,0,United States,0,16,4316311,4313286,4247243,4173913,4159425,4165959,4181112,4265224
10,0,0,0,United States,0,17,4395196,4375374,4333826,4266743,4193417,4181875,4188836,4203925
10,0,0,0,United States,0,18,4482436,4475079,4387009,4344252,4275674,4206835,4194406,4200033
10,0,0,0,United States,0,19,4533403,4521387,4473178,4381046,4332268,4270801,4203590,4189008
10,0,0,0,United States,0,20,4452626,4501565,4538381,4488095,4390868,4349871,4289854,4220875
10,0,0,0,United States,0,21,4280148,4312876,4521212,4560471,4505088,4413374,4374367,4313122
10,0,0,0,United States,0,22,4188295,4208407,4336896,4547547,4585688,4533445,4444425,4403415
10,0,0,0,United States,0,23,4122832,4140964,4239527,4370445,4581188,4621962,4571202,4480220
10,0,0,0,United States,0,24,4176530,4170588,4173533,4273388,4404468,4618569,4660929,4606686
10,0,0,0,United States,0,25,4194785,4221086,4201348,4205797,4305399,4439629,4655048,4695019
10,0,0,0,United States,0,26,4090707,4098538,4249118,4231546,4236011,4338504,4474737,4686783
10,0,0,0,United States,0,27,4192055,4179763,4125272,4278297,4261482,4268861,4373069,4505280
10,0,0,0,United States,0,28,4164505,4195471,4203996,4151421,4304852,4291768,4301033,4401577
10,0,0,0,United States,0,29,4176622,4163101,4216983,4227558,4175814,4332502,4322289,4327659
10,0,0,0,United States,0,30,4242932,4260935,4182170,4237480,4249611,4201199,4360244,4347152
10,0,0,0,United States,0,31,3931662,4002920,4277381,4200058,4256080,4271001,4225323,4380867
10,0,0,0,United States,0,32,3951250,3931504,4017447,4292622,4216234,4274400,4291815,4243366
10,0,0,0,United States,0,33,3847378,3899857,3944573,4030167,4306384,4232000,4292133,4307619
10,0,0,0,United States,0,34,3808010,3791106,3911013,3955959,4041641,4320332,4247919,4305967
10,0,0,0,United States,0,35,3925951,3917287,3801132,3921166,3966223,4053420,4334212,4259755
10,0,0,0,United States,0,36,3772160,3800267,3925347,3809497,3929631,3976508,4065344,4343798
10,0,0,0,United States,0,37,3903846,3865986,3807010,3932499,3816811,3938248,3986919,4073604
10,0,0,0,United States,0,38,4091007,4049365,3872404,3813695,3939072,3824891,3947512,3994745
10,0,0,0,United States,0,39,4334934,4294383,4056380,3879253,3820886,3947840,3834960,3955780
10,0,0,0,United States,0,40,4357357,4360790,4299084,4061792,3884839,3827948,3955730,3841439
10,0,0,0,United States,0,41,4092163,4140505,4363343,4302251,4065840,3889905,3834188,3960373
10,0,0,0,United States,0,42,4056289,4062533,4142230,4365427,4304635,4069756,3894756,3837832
10,0,0,0,United States,0,43,4087645,4076072,4063810,4143266,4365830,4306645,4073259,3897283
10,0,0,0,United States,0,44,4196175,4162929,4076342,4063814,4142619,4365992,4308264,4074305
10,0,0,0,United States,0,45,4495283,4424782,4161075,4074875,4061476,4141403,4365345,4307167
10,0,0,0,United States,0,46,4508184,4517790,4420658,4157311,4070732,4058247,4138986,4361530
10,0,0,0,United States,0,47,4525595,4525347,4511275,4414640,4151537,4066239,4054434,4134293
10,0,0,0,United States,0,48,4531068,4526603,4516476,4502913,4406298,4144771,4060411,4047978
10,0,0,0,United States,0,49,4599880,4592693,4515772,4506196,4492446,4397084,4137125,4052345
10,0,0,0,United States,0,50,4655620,4641215,4579322,4503297,4493271,4480592,4386372,4126728
10,0,0,0,United States,0,51,4461009,4495182,4625863,4564187,4487654,4478413,4466450,4372068
10,0,0,0,United States,0,52,4497983,4477632,4478193,4608345,4546202,4470947,4462006,4449691
10,0,0,0,United States,0,53,4378170,4437010,4458650,4459172,4588769,4527374,4452538,4443337
10,0,0,0,United States,0,54,4290311,4286615,4416076,4438039,4438132,4567810,4506682,4431995
10,0,0,0,United States,0,55,4253413,4257483,4264156,4393562,4414811,4415304,4544424,4483305
10,0,0,0,United States,0,56,4036481,4091975,4233882,4240385,4368007,4389411,4389851,4517804
10,0,0,0,United States,0,57,3935468,3945543,4067218,4208559,4213992,4340912,4362089,4362158
10,0,0,0,United States,0,58,3794270,3801672,3919663,4041143,4180530,4185849,4311732,4332468
10,0,0,0,United States,0,59,3640765,3693662,3774714,3892659,4012157,4151010,4156022,4280651
10,0,0,0,United States,0,60,3620930,3616440,3666078,3746575,3862809,3981594,4119018,4123758
10,0,0,0,United States,0,61,3492462,3519945,3587542,3636455,3715395,3830538,3947919,4083824
10,0,0,0,United States,0,62,3563184,3495025,3488913,3556407,3603728,3681876,3795434,3911394
10,0,0,0,United States,0,63,3483896,3652136,3460842,3455670,3521824,3568433,3645092,3757367
10,0,0,0,United States,0,64,2657107,2705998,3613828,3424878,3418756,3485301,3530654,3606247
10,0,0,0,United States,0,65,2680815,2678549,2675487,3574017,3385607,3380573,3446076,3490890
10,0,0,0,United States,0,66,2639209,2621368,2645977,2643355,3530104,3344564,3339313,3403647
10,0,0,0,United States,0,67,2649426,2693756,2585996,2611398,2608128,3483712,3300329,3295266
10,0,0,0,United States,0,68,2323736,2359875,2653822,2548172,2573532,2570846,3433103,3251936
10,0,0,0,United States,0,69,2142381,2167891,2321696,2611623,2506965,2533657,2530425,3378344
10,0,0,0,United States,0,70,2043178,2062640,2129506,2281767,2565681,2464812,2490968,2487211
10,0,0,0,United States,0,71,1949391,1953659,2022822,2089816,2238271,2519482,2419980,2445650
10,0,0,0,United States,0,72,1864324,1883870,1912276,1981432,2046255,2193946,2468806,2371252
10,0,0,0,United States,0,73,1737022,1750358,1840027,1869135,1935930,2001665,2145188,2413647
10,0,0,0,United States,0,74,1684563,1686056,1705542,1794455,1821787,1889452,1952834,2092487
10,0,0,0,United States,0,75,1620158,1631934,1638642,1659102,1744541,1773553,1838751,1900211
10,0,0,0,United States,0,76,1471157,1481734,1581312,1589417,1608179,1693713,1721065,1784266
10,0,0,0,United States,0,77,1455414,1449231,1430796,1528921,1535602,1556359,1638329,1664566
10,0,0,0,United States,0,78,1400205,1402238,1394555,1378285,1471805,1480901,1500034,1578915
10,0,0,0,United States,0,79,1371312,1354969,1343699,1338166,1321072,1413829,1421668,1439937
10,0,0,0,United States,0,80,1308608,1319785,1292440,1283349,1276943,1263166,1350946,1358260
10,0,0,0,United States,0,81,1212976,1212658,1252509,1228116,1218245,1215270,1200879,1284298
10,0,0,0,United States,0,82,1161546,1158406,1143978,1183618,1158980,1152792,1149073,1135109
10,0,0,0,United States,0,83,1074941,1081498,1085428,1073792,1109524,1089519,1082525,1079082
10,0,0,0,United States,0,84,985854,987081,1005469,1011165,998599,1035483,1015487,1008890
10,0,0,0,United States,0,85,5495003,5543087,5702114,5878472,6014394,6154392,6288513,6380331
10,0,0,0,United States,0,999,307528001,308112954,310445708,312758251,314962340,317337525,319700104,321925074
10,0,0,0,United States,1,0,2014278,2018452,2028508,2007778,2009739,2024727,2031434,2030478
