name,age,pop_2010,pop_2016
United States,0,3944160,3970145
United States,1,3978090,3995008
United States,2,4096939,3992154
United States,3,4119051,3982074
United States,4,4063186,3987656
United States,5,4056872,4032515
United States,6,4066412,4029655
United States,7,4030594,4029991
United States,8,4046497,4159114
United States,9,4148369,4178524
United States,10,4172559,4144019
United States,11,4114443,4131222
United States,12,4106261,4139558
United States,13,4118055,4109703
United States,14,4166059,4093731
United States,15,4242946,4196991
United States,16,4316311,4265224
United States,17,4395196,4203925
United States,18,4482436,4200033
United States,19,4533403,4189008
United States,20,4452626,4220875
United States,21,4280148,4313122
United States,22,4188295,4403415
United States,23,4122832,4480220
United States,24,4176530,4606686
United States,25,4194785,4695019
United States,26,4090707,4686783
United States,27,4192055,4505280
United States,28,4164505,4401577
United States,29,4176622,4327659
United States,30,4242932,4347152
United States,31,3931662,4380867
United States,32,3951250,4243366
United States,33,3847378,4307619
United States,34,3808010,4305967
United States,35,3925951,4259755
United States,36,3772160,4343798
United States,37,3903846,4073604
United States,38,4091007,3994745
United States,39,4334934,3955780
United States,40,4357357,3841439
United States,41,4092163,3960373
United States,42,4056289,3837832
United States,43,4087645,3897283
United States,44,4196175,4074305
United States,45,4495283,4307167
United States,46,4508184,4361530
United States,47,4525595,4134293
United States,48,4531068,4047978
United States,49,4599880,4052345
United States,50,4655620,4126728
United States,51,4461009,4372068
United States,52,4497983,4449691
United States,53,4378170,4443337
United States,54,4290311,4431995
United States,55,4253413,4483305
United States,56,4036481,4517804
United States,57,3935468,4362158
United States,58,3794270,4332468
United States,59,3640765,4280651
United States,60,3620930,4123758
United States,61,3492462,4083824
United States,62,3563184,3911394
United States,63,3483896,3757367
United States,64,2657107,3606247
United States,65,2680815,3490890
United States,66,2639209,3403647
United States,67,2649426,3295266
United States,68,2323736,3251936
United States,69,2142381,3378344
United States,70,2043178,2487211
United States,71,1949391,2445650
United States,72,1864324,2371252
United States,73,1737022,2413647
United States,74,1684563,2092487
United States,75,1620158,1900211
United States,76,1471157,1784266
United States,77,1455414,1664566
United States,78,1400205,1578915
United States,79,1371312,1439937
United States,80,1308608,1358260
United States,81,1212976,1284298
United States,82,1161546,1135109
United States,83,1074941,1079082
United States,84,985854,1008890
Alabama,0,60056,58269
Alabama,1,59832,58884
Alabama,2,62284,58980
Alabama,3,61998,57778
Alabama,4,60791,58654
Alabama,5,60486,59413
Alabama,6,60614,59729
Alabama,7,60529,60127
Alabama,8,61602,62104
Alabama,9,65001,62244
Alabama,10,64990,61435
Alabama,11,63701,61009
Alabama,12,64189,61318
Alabama,13,63095,60927
Alabama,14,63680,61692
Alabama,15,65096,64400
Alabama,16,66755,65951
Alabama,17,67763,63887
Alabama,18,70047,62954
Alabama,19,73025,62616
Alabama,20,71794,62839
Alabama,21,67926,65365
Alabama,22,65533,67153
Alabama,23,63790,67180
Alabama,24,62969,68080
Alabama,25,62381,70512
Alabama,26,60701,70552
Alabama,27,61354,65547
Alabama,28,60858,62516
Alabama,29,62304,60417
Alabama,30,62910,60924
Alabama,31,58586,61245
Alabama,32,59150,59300
Alabama,33,57685,60895
Alabama,34,56782,60479
Alabama,35,58863,61158
Alabama,36,57499,62476
Alabama,37,59768,58901
Alabama,38,62957,58617
Alabama,39,65936,57817
Alabama,40,64075,55856
Alabama,41,60693,58308
Alabama,42,59620,57405
Alabama,43,60486,59169
Alabama,44,63379,62381
Alabama,45,68305,65625
Alabama,46,68200,64519
Alabama,47,68563,61293
Alabama,48,69620,59724
Alabama,49,70200,59919
Alabama,50,71267,62155
Alabama,51,68701,66482
Alabama,52,69980,67748
Alabama,53,69290,67453
Alabama,54,67758,67732
Alabama,55,66912,68912
Alabama,56,64270,69063
Alabama,57,61813,66860
Alabama,58,60878,66629
Alabama,59,57855,67171
Alabama,60,58686,64827
Alabama,61,57451,63937
Alabama,62,58872,61832
Alabama,63,57115,58923
Alabama,64,44004,56832
Alabama,65,44804,55329
Alabama,66,44610,54570
Alabama,67,44810,53486
Alabama,68,38956,52929
Alabama,69,36471,54996
Alabama,70,35540,40239
Alabama,71,33798,40088
Alabama,72,32463,39043
Alabama,73,29823,39739
Alabama,74,29259,34250
Alabama,75,27991,31234
Alabama,76,25144,29716
Alabama,77,24341,27884
Alabama,78,23268,26482
Alabama,79,22122,23640
Alabama,80,20853,22259
Alabama,81,18925,21053
Alabama,82,18077,18380
Alabama,83,16401,16828
Alabama,84,14537,15653
Alaska,0,10828,10938
Alaska,1,11006,10798
Alaska,2,10897,11061
Alaska,3,10777,11166
Alaska,4,10488,10152
Alaska,5,10177,11330
Alaska,6,10252,10482
Alaska,7,10155,10393
Alaska,8,10096,10606
Alaska,9,10207,10265
Alaska,10,10537,10363
Alaska,11,10073,9962
Alaska,12,9913,9957
Alaska,13,10177,9957
Alaska,14,10116,9807
Alaska,15,10324,9753
Alaska,16,10578,10299
Alaska,17,10777,10038
Alaska,18,10362,8874
Alaska,19,9347,7959
Alaska,20,9414,8859
Alaska,21,9157,9418
Alaska,22,9281,9895
Alaska,23,9287,10645
Alaska,24,10139,11639
Alaska,25,10236,11842
Alaska,26,9963,11942
Alaska,27,10188,11411
Alaska,28,9744,11073
Alaska,29,9645,11066
Alaska,30,9842,11200
Alaska,31,8679,10927
Alaska,32,8891,10754
Alaska,33,8402,10639
Alaska,34,8245,10419
Alaska,35,8796,9964
Alaska,36,8071,10004
Alaska,37,8345,8920
Alaska,38,8656,9047
Alaska,39,9322,8612
Alaska,40,9634,8138
Alaska,41,8744,8551
Alaska,42,8809,8247
Alaska,43,9012,8269
Alaska,44,9333,8626
Alaska,45,10481,9027
Alaska,46,10458,9548
Alaska,47,10959,8783
Alaska,48,11002,8559
Alaska,49,11250,8810
Alaska,50,11857,8828
Alaska,51,10937,9734
Alaska,52,11395,9806
Alaska,53,11183,10082
Alaska,54,10775,10274
Alaska,55,11395,10228
Alaska,56,10291,10609
Alaska,57,10076,10029
Alaska,58,9531,10007
Alaska,59,8639,10000
Alaska,60,8685,9355
Alaska,61,7782,9710
Alaska,62,7325,9050
Alaska,63,6879,8419
Alaska,64,5263,7864
Alaska,65,5210,7341
Alaska,66,4893,6993
Alaska,67,4523,6633
Alaska,68,3993,5877
Alaska,69,3583,5984
Alaska,70,3150,4343
Alaska,71,2759,4315
Alaska,72,2674,3813
Alaska,73,2354,3827
Alaska,74,2211,3261
Alaska,75,2085,2834
Alaska,76,1869,2598
Alaska,77,1756,2227
Alaska,78,1595,2061
Alaska,79,1587,1835
Alaska,80,1514,1674
Alaska,81,1306,1506
Alaska,82,1185,1361
Alaska,83,1044,1217
Alaska,84,936,1086
Arizona,0,87557,87702
Arizona,1,89746,88450
Arizona,2,93216,87328
Arizona,3,93880,87798
Arizona,4,91316,88041
Arizona,5,90894,87129
Arizona,6,90891,87993
Arizona,7,90407,90192
Arizona,8,89191,93651
Arizona,9,92296,95192
Arizona,10,91781,93576
Arizona,11,89797,92868
Arizona,12,89061,90402
Arizona,13,89188,91911
Arizona,14,88837,90267
Arizona,15,89477,92733
Arizona,16,90341,94180
Arizona,17,91134,92075
Arizona,18,94144,93367
Arizona,19,95366,93224
Arizona,20,92506,91616
Arizona,21,88004,94075
Arizona,22,85115,95768
Arizona,23,84454,98283
Arizona,24,85903,99347
Arizona,25,87013,102736
Arizona,26,84800,101299
Arizona,27,87633,95493
Arizona,28,87076,91496
Arizona,29,87859,88832
Arizona,30,89444,88465
Arizona,31,81586,89847
Arizona,32,81993,87544
Arizona,33,80464,89728
Arizona,34,79690,89706
Arizona,35,83599,89506
Arizona,36,78790,91009
Arizona,37,79808,84743
Arizona,38,83332,83177
Arizona,39,87373,82616
Arizona,40,87645,80455
Arizona,41,80699,84395
Arizona,42,79739,81296
Arizona,43,77632,80476
Arizona,44,79337,83855
Arizona,45,85172,87747
Arizona,46,84549,89092
Arizona,47,85258,83355
Arizona,48,85337,81059
Arizona,49,85928,79581
Arizona,50,87511,80286
Arizona,51,82931,85423
Arizona,52,84093,86481
Arizona,53,81282,86158
Arizona,54,79483,86861
Arizona,55,79287,87170
Arizona,56,76606,88944
Arizona,57,74778,85782
Arizona,58,72944,85219
Arizona,59,71596,84761
Arizona,60,72760,82128
Arizona,61,71334,82213
Arizona,62,74866,80379
Arizona,63,74428,78341
Arizona,64,57582,76143
Arizona,65,59511,76250
Arizona,66,59599,76931
Arizona,67,60419,76146
Arizona,68,53698,78043
Arizona,69,49657,80004
Arizona,70,47865,60850
Arizona,71,45191,60732
Arizona,72,43400,60151
Arizona,73,40099,60666
Arizona,74,38487,53047
Arizona,75,36470,48520
Arizona,76,32823,45365
Arizona,77,32379,42217
Arizona,78,30639,39800
Arizona,79,29977,35847
Arizona,80,28249,33381
Arizona,81,25342,30883
Arizona,82,23614,26610
Arizona,83,21478,25326
Arizona,84,19645,23321
Arkansas,0,38402,37737
Arkansas,1,38742,38010
Arkansas,2,40052,38064
Arkansas,3,40841,37943
Arkansas,4,39655,38523
Arkansas,5,39534,38723
Arkansas,6,39263,38399
Arkansas,7,38982,38817
Arkansas,8,38957,40026
Arkansas,9,40146,40578
Arkansas,10,40252,40065
Arkansas,11,39568,39669
Arkansas,12,39509,39655
Arkansas,13,39304,39300
Arkansas,14,38930,38829
Arkansas,15,39050,40022
Arkansas,16,39796,40727
Arkansas,17,40505,39966
Arkansas,18,41120,39006
Arkansas,19,43118,39255
Arkansas,20,42486,39946
Arkansas,21,40395,40176
Arkansas,22,39179,40802
Arkansas,23,37782,40537
Arkansas,24,37939,40701
Arkansas,25,37770,42895
Arkansas,26,37675,41743
Arkansas,27,38254,40045
Arkansas,28,38026,38471
Arkansas,29,38747,37428
Arkansas,30,39346,37598
Arkansas,31,36033,38132
Arkansas,32,36735,37476
Arkansas,33,35427,38181
Arkansas,34,35049,38419
Arkansas,35,36170,38310
Arkansas,36,34697,39406
Arkansas,37,35845,36757
Arkansas,38,37168,36077
Arkansas,39,38742,35719
Arkansas,40,38360,34554
Arkansas,41,35796,36032
Arkansas,42,35323,34655
Arkansas,43,35542,35521
Arkansas,44,36784,36523
Arkansas,45,40705,38350
Arkansas,46,41191,38393
Arkansas,47,41333,36063
Arkansas,48,40535,35061
Arkansas,49,41384,35069
Arkansas,50,41798,35873
Arkansas,51,40355,39126
Arkansas,52,40317,40198
Arkansas,53,39892,40657
Arkansas,54,39220,39746
Arkansas,55,38895,40357
Arkansas,56,37870,40484
Arkansas,57,36671,39284
Arkansas,58,35838,38961
Arkansas,59,34624,38785
Arkansas,60,34704,37607
Arkansas,61,34783,37436
Arkansas,62,35271,36471
Arkansas,63,35282,35084
Arkansas,64,26992,33840
Arkansas,65,28458,33210
Arkansas,66,28262,32345
Arkansas,67,27655,32201
Arkansas,68,25316,31862
Arkansas,69,23679,33683
Arkansas,70,22809,24720
Arkansas,71,21166,24856
Arkansas,72,20329,24499
Arkansas,73,18427,24510
Arkansas,74,18510,21694
Arkansas,75,17738,19975
Arkansas,76,16078,19170
Arkansas,77,15486,17411
Arkansas,78,14549,16268
Arkansas,79,13897,14636
Arkansas,80,12974,13800
Arkansas,81,11781,13262
Arkansas,82,11235,11549
Arkansas,83,10630,10661
Arkansas,84,9629,9742
California,0,494060,498832
California,1,497754,499652
California,2,516003,495608
California,3,516611,498302
California,4,506909,494978
California,5,505175,509354
California,6,500418,498601
California,7,497030,497148
California,8,493552,516395
California,9,509666,518128
California,10,511352,510902
California,11,508006,508649
California,12,513257,505998
California,13,523312,500697
California,14,535005,496229
California,15,546805,510524
California,16,556659,518946
California,17,563447,513779
California,18,573373,520499
California,19,573433,504551
California,20,563341,514464
California,21,543851,529647
California,22,534880,549387
California,23,530075,569384
California,24,538473,593484
California,25,546639,627236
California,26,532658,631871
California,27,546025,608745
California,28,543550,590935
California,29,540340,574377
California,30,550254,570855
California,31,501471,575764
California,32,506786,556700
California,33,498008,560243
California,34,495674,559687
California,35,515119,545901
California,36,488748,558990
California,37,501306,516461
California,38,511587,507614
California,39,541405,505501
California,40,561483,494417
California,41,517269,512108
California,42,509131,493233
California,43,502645,494780
California,44,509926,506167
California,45,543537,530547
California,46,537385,551119
California,47,536663,520424
California,48,530488,505710
California,49,537699,494953
California,50,547412,498465
California,51,510509,524377
California,52,515092,527145
California,53,498439,522360
California,54,489910,515584
California,55,486678,517257
California,56,454961,527905
California,57,440737,497183
California,58,416689,490988
California,59,404945,481863
California,60,405545,465018
California,61,380706,461752
California,62,382320,436642
California,63,370317,416278
California,64,293284,393525
California,65,293129,380498
California,66,275707,377249
California,67,271802,357683
California,68,239252,347434
California,69,223702,357807
California,70,216317,274736
California,71,203193,269836
California,72,194742,253256
California,73,182446,250732
California,74,175115,219771
California,75,169529,201490
California,76,155108,192791
California,77,152162,178819
California,78,145390,169447
California,79,144836,155715
California,80,138722,146535
California,81,125477,138767
California,82,120416,124268
California,83,112824,117971
California,84,105841,109497
Colorado,0,66594,67691
Colorado,1,67712,67507
Colorado,2,69353,67410
Colorado,3,70538,67295
Colorado,4,69763,67561
Colorado,5,69989,69064
Colorado,6,70543,70073
Colorado,7,69761,69875
Colorado,8,68623,71867
Colorado,9,69687,72465
Colorado,10,68903,72569
Colorado,11,66888,72340
Colorado,12,65833,72729
Colorado,13,65561,71676
Colorado,14,65469,70361
Colorado,15,66148,71022
Colorado,16,66575,70986
Colorado,17,67667,68881
Colorado,18,68510,70618
Colorado,19,69571,71563
Colorado,20,68439,69413
Colorado,21,65978,71423
Colorado,22,66937,75612
Colorado,23,68751,80389
Colorado,24,71201,84125
Colorado,25,72073,85253
Colorado,26,71761,85916
Colorado,27,73861,82873
Colorado,28,73605,82063
Colorado,29,73811,82080
Colorado,30,75033,83487
Colorado,31,69384,82778
Colorado,32,70140,80527
Colorado,33,67660,81496
Colorado,34,66995,81500
Colorado,35,69679,79885
Colorado,36,66150,80676
Colorado,37,67588,75255
Colorado,38,70984,73961
Colorado,39,75082,72218
Colorado,40,74530,70181
Colorado,41,70010,72280
Colorado,42,66687,69429
Colorado,43,65527,69208
Colorado,44,66453,72170
Colorado,45,72137,76324
Colorado,46,72725,76106
Colorado,47,74271,71877
Colorado,48,75053,68027
Colorado,49,76340,66401
Colorado,50,77756,66861
Colorado,51,74274,70965
Colorado,52,74285,72488
Colorado,53,73088,72979
Colorado,54,71346,74141
Colorado,55,70204,75177
Colorado,56,67918,76018
Colorado,57,66429,73467
Colorado,58,63451,72577
Colorado,59,60296,71915
Colorado,60,59439,69674
Colorado,61,56205,68216
Colorado,62,57203,66534
Colorado,63,55498,64337
Colorado,64,40922,61314
Colorado,65,40789,58671
Colorado,66,39364,56853
Colorado,67,38489,53803
Colorado,68,33441,53338
Colorado,69,30409,54689
Colorado,70,28662,39646
Colorado,71,27132,37907
Colorado,72,25441,36150
Colorado,73,23727,36180
Colorado,74,22506,30543
Colorado,75,21376,27656
Colorado,76,19747,25593
Colorado,77,19278,23785
Colorado,78,18494,22048
Colorado,79,18013,20066
Colorado,80,16734,18816
Colorado,81,15735,17598
Colorado,82,14794,15637
Colorado,83,13382,14872
Colorado,84,12499,13902
Connecticut,0,38012,36202
Connecticut,1,38999,36719
Connecticut,2,40677,37179
Connecticut,3,41896,36994
Connecticut,4,42525,38227
Connecticut,5,43322,38814
Connecticut,6,44148,39505
Connecticut,7,44198,39750
Connecticut,8,45094,41521
Connecticut,9,45810,42319
Connecticut,10,47267,43208
Connecticut,11,47900,43944
Connecticut,12,47353,45088
Connecticut,13,48970,44965
