pres	p_0	p_20	p_40	p_60	p_80	p_100
Harry S. Truman	86.00	58.45	53.00	50.13	34.40	32.00
Dwight D. Eisenhower	68.00	66.83	69.70	66.95	55.43	59.00
John F. Kennedy	72.00	74.89	77.25	68.86	68.71	58.00
Lyndon B. Johnson	77.00	74.33	66.00	51.71	42.82	49.00
Richard Nixon	59.00	58.61	54.00	48.20	54.00	24.00
Gerald R. Ford	70.00	50.20	42.11	44.27	48.00	53.00
Jimmy Carter	66.00	62.55	45.20	42.35	38.48	34.00
Ronald Reagan	51.00	51.00	44.94	56.83	57.50	63.00
George Bush	51.00	61.42	68.92	70.55	56.72	56.00
William J. Clinton	58.00	48.20	46.03	56.36	62.87	66.00
George W. Bush	57.00	70.14	60.27	47.70	37.34	34.00
Barack Obama	68.00	53.50	44.95	47.72	43.40	59.00
Donald J. Trump	45.00	42.05	39.98	38.42	36.53	33.00
