President	Start Date	End Date	% Approval	% Disapproval	% No opinion/data
Harry S. Truman	5/29/1945	5/29/1945	86	2	10
Harry S. Truman	8/22/1945	8/22/1945	91	2	5
Harry S. Truman	10/3/1945	10/3/1945	80	8	10
Harry S. Truman	10/31/1945	10/31/1945	75	13	11
Harry S. Truman	1/3/1946	1/3/1946	63	22	14
Harry S. Truman	2/27/1946	2/27/1946	48	38	12
Harry S. Truman	3/27/1946	3/27/1946	50	33	16
Harry S. Truman	5/29/1946	5/29/1946	45	42	12
Harry S. Truman	6/12/1946	6/12/1946	45	42	12
Harry S. Truman	9/11/1946	9/11/1946	33	51	15
Harry S. Truman	10/21/1946	10/21/1946	27	56	16
Harry S. Truman	11/13/1946	11/13/1946	34	52	13
Harry S. Truman	1/15/1947	1/15/1947	49	37	13
Harry S. Truman	3/14/1947	3/19/1947	58	22	19
Harry S. Truman	3/26/1947	3/26/1947	63	21	15
Harry S. Truman	4/23/1947	4/23/1947	57	24	17
Harry S. Truman	5/23/1947	5/28/1947	64	23	12
Harry S. Truman	6/18/1947	6/18/1947	55	31	13
Harry S. Truman	7/4/1947	7/9/1947	59	26	13
Harry S. Truman	9/10/1947	9/10/1947	55	27	17
Harry S. Truman	11/28/1947	12/3/1947	53	32	14
Harry S. Truman	4/7/1948	4/7/1948	36	49	14
Harry S. Truman	5/28/1948	6/2/1948	38	45	16
Harry S. Truman	6/16/1948	6/16/1948	38	45	15
Harry S. Truman	1/5/1949	1/5/1949	67	18	14
Harry S. Truman	3/4/1949	3/4/1949	56	26	17
Harry S. Truman	4/30/1949	4/30/1949	50	31	18
Harry S. Truman	6/9/1949	6/9/1949	56	27	15
Harry S. Truman	9/28/1949	10/2/1949	49	34	16
Harry S. Truman	9/28/1949	10/2/1949	47	34	18
Harry S. Truman	1/6/1950	1/6/1950	44	41	13
Harry S. Truman	2/24/1950	2/24/1950	35	47	17
Harry S. Truman	4/28/1950	4/28/1950	39	47	13
Harry S. Truman	5/2/1950	5/2/1950	40	37	22
Harry S. Truman	6/4/1950	6/9/1950	36	46	17
Harry S. Truman	7/7/1950	7/7/1950	45	39	14
Harry S. Truman	7/28/1950	7/28/1950	39	44	16
Harry S. Truman	8/18/1950	8/18/1950	42	32	25
Harry S. Truman	9/15/1950	9/15/1950	34	47	17
Harry S. Truman	9/29/1950	9/29/1950	34	50	14
Harry S. Truman	10/6/1950	10/6/1950	42	36	21
Harry S. Truman	10/11/1950	10/11/1950	36	48	14
Harry S. Truman	10/18/1950	10/18/1950	40	45	13
Harry S. Truman	12/1/1950	12/1/1950	33	52	13
Harry S. Truman	2/4/1951	2/9/1951	25	58	15
Harry S. Truman	3/2/1951	3/2/1951	27	58	14
Harry S. Truman	3/24/1951	3/24/1951	26	60	12
Harry S. Truman	4/14/1951	4/14/1951	24	54	20
Harry S. Truman	5/19/1951	5/24/1951	23	63	12
Harry S. Truman	6/14/1951	6/14/1951	24	61	13
Harry S. Truman	7/6/1951	7/6/1951	28	56	14
Harry S. Truman	8/1/1951	8/1/1951	29	58	10
Harry S. Truman	10/12/1951	10/12/1951	27	58	12
Harry S. Truman	11/11/1951	11/16/1951	22	60	16
Harry S. Truman	1/4/1952	1/4/1952	23	66	9
Harry S. Truman	2/9/1952	2/14/1952	22	64	13
Harry S. Truman	4/11/1952	4/11/1952	28	60	11
Harry S. Truman	5/9/1952	5/9/1952	26	60	12
Harry S. Truman	5/28/1952	5/28/1952	30	59	6
Harry S. Truman	7/11/1952	7/11/1952	28	58	11
Harry S. Truman	10/1/1952	10/1/1952	32	54	11
Harry S. Truman	10/3/1952	10/3/1952	30	56	11
Harry S. Truman	10/7/1952	10/7/1952	32	55	11
Harry S. Truman	12/4/1952	12/4/1952	32	56	11
Harry S. Truman	12/11/1952	12/16/1952	32	56	12
Dwight D. Eisenhower	2/1/1953	2/5/1953	68	7	25
Dwight D. Eisenhower	2/20/1953	2/20/1953	66	7	25
Dwight D. Eisenhower	3/28/1953	4/2/1953	73	7	18
Dwight D. Eisenhower	4/19/1953	4/24/1953	73	10	17
Dwight D. Eisenhower	5/9/1953	5/14/1953	73	10	15
Dwight D. Eisenhower	7/23/1953	7/23/1953	72	12	14
Dwight D. Eisenhower	8/15/1953	8/20/1953	73	14	0
Dwight D. Eisenhower	9/12/1953	9/17/1953	60	20	17
Dwight D. Eisenhower	10/9/1953	10/14/1953	64	19	16
Dwight D. Eisenhower	11/1/1953	11/5/1953	61	25	13
Dwight D. Eisenhower	12/9/1953	12/9/1953	68	21	9
Dwight D. Eisenhower	1/7/1954	1/7/1954	70	18	10
Dwight D. Eisenhower	1/26/1954	1/26/1954	70	17	11
Dwight D. Eisenhower	2/23/1954	2/23/1954	66	21	12
Dwight D. Eisenhower	3/17/1954	3/17/1954	64	22	11
Dwight D. Eisenhower	4/3/1954	4/3/1954	60	22	16
Dwight D. Eisenhower	4/8/1954	4/13/1954	68	21	9
Dwight D. Eisenhower	5/21/1954	5/26/1954	61	23	14
Dwight D. Eisenhower	6/12/1954	6/17/1954	61	23	13
Dwight D. Eisenhower	6/30/1954	6/30/1954	64	21	14
Dwight D. Eisenhower	7/16/1954	7/21/1954	74	20	5
Dwight D. Eisenhower	8/3/1954	8/3/1954	67	18	13
Dwight D. Eisenhower	8/24/1954	8/24/1954	61	22	15
Dwight D. Eisenhower	9/16/1954	9/21/1954	65	21	12
Dwight D. Eisenhower	10/13/1954	10/13/1954	61	25	12
Dwight D. Eisenhower	11/11/1954	11/16/1954	57	23	18
Dwight D. Eisenhower	11/30/1954	11/30/1954	68	23	7
Dwight D. Eisenhower	12/31/1954	1/5/1955	69	17	12
Dwight D. Eisenhower	1/18/1955	1/18/1955	69	17	13
Dwight D. Eisenhower	2/10/1955	2/15/1955	72	15	12
Dwight D. Eisenhower	3/1/1955	3/1/1955	70	16	12
Dwight D. Eisenhower	3/22/1955	3/22/1955	64	22	12
Dwight D. Eisenhower	4/14/1955	4/19/1955	69	14	16
Dwight D. Eisenhower	5/12/1955	5/17/1955	67	16	15
Dwight D. Eisenhower	6/3/1955	6/8/1955	69	15	14
Dwight D. Eisenhower	6/22/1955	6/22/1955	67	15	17
Dwight D. Eisenhower	7/12/1955	7/12/1955	72	17	9
Dwight D. Eisenhower	8/2/1955	8/2/1955	75	11	13
Dwight D. Eisenhower	8/23/1955	8/23/1955	70	15	13
Dwight D. Eisenhower	9/13/1955	9/13/1955	70	16	12
Dwight D. Eisenhower	11/17/1955	11/22/1955	77	13	9
Dwight D. Eisenhower	12/6/1955	12/6/1955	74	12	11
Dwight D. Eisenhower	1/4/1956	1/4/1956	76	11	11
Dwight D. Eisenhower	1/24/1956	1/24/1956	76	13	8
Dwight D. Eisenhower	2/14/1956	2/14/1956	74	15	10
Dwight D. Eisenhower	3/6/1956	3/6/1956	72	17	10
Dwight D. Eisenhower	3/29/1956	4/3/1956	72	17	10
Dwight D. Eisenhower	5/8/1956	5/8/1956	69	16	13
Dwight D. Eisenhower	5/29/1956	5/29/1956	71	18	9
Dwight D. Eisenhower	6/13/1956	6/13/1956	72	18	8
Dwight D. Eisenhower	7/10/1956	7/10/1956	69	20	9
Dwight D. Eisenhower	8/1/1956	8/1/1956	67	19	13
Dwight D. Eisenhower	11/20/1956	11/20/1956	74	14	10
Dwight D. Eisenhower	12/14/1956	12/19/1956	77	11	10
Dwight D. Eisenhower	1/17/1957	1/22/1957	73	13	12
Dwight D. Eisenhower	2/5/1957	2/12/1957	72	15	11
Dwight D. Eisenhower	2/28/1957	3/5/1957	71	17	10
Dwight D. Eisenhower	3/15/1957	3/20/1957	65	19	14
Dwight D. Eisenhower	4/6/1957	4/11/1957	66	20	12
Dwight D. Eisenhower	4/25/1957	4/30/1957	62	22	14
Dwight D. Eisenhower	5/15/1957	5/15/1957	61	22	14
Dwight D. Eisenhower	6/6/1957	6/11/1957	63	22	14
Dwight D. Eisenhower	6/25/1957	6/25/1957	63	22	13
Dwight D. Eisenhower	7/18/1957	7/23/1957	64	22	13
Dwight D. Eisenhower	8/6/1957	8/6/1957	62	19	17
Dwight D. Eisenhower	9/19/1957	9/24/1957	57	27	14
Dwight D. Eisenhower	10/10/1957	10/15/1957	56	26	15
Dwight D. Eisenhower	11/7/1957	11/12/1957	57	27	14
Dwight D. Eisenhower	12/31/1957	12/31/1957	60	29	9
Dwight D. Eisenhower	1/22/1958	1/22/1958	57	27	14
Dwight D. Eisenhower	2/14/1958	2/19/1958	54	32	0
Dwight D. Eisenhower	3/4/1958	3/4/1958	50	32	15
Dwight D. Eisenhower	3/25/1958	3/25/1958	47	35	16
Dwight D. Eisenhower	4/14/1958	4/14/1958	54	30	15
Dwight D. Eisenhower	5/7/1958	5/12/1958	51	32	15
Dwight D. Eisenhower	5/26/1958	5/26/1958	53	31	15
