stop_id,search_details_id,search_details_type,search_details_description,,
1444799,1628067,ActionTaken,Citation,,
1444821,1628097,ActionTaken,Verbal Warning,,
1447102,1630482,ActionTaken,Citation,,
1444801,1628069,ActionTaken,Verbal Warning,,
1444802,1628070,ActionTaken,Verbal Warning,,
1444912,1628192,ActionTaken,Verbal Warning,,
1444804,1628072,ActionTaken,Verbal Warning,,
1444805,1628073,ActionTaken,Other,,
1444805,1628074,ActionTakenOther,DL 310,,
1444811,1628083,ActionTaken,Citation,,
1444811,1628084,SearchType,Vehicle,,
1444811,1628085,SearchType,Driver,,
1444811,1628086,SearchBasis,4th Waiver Search,,
1444807,1628076,ActionTaken,Verbal Warning,,
1444806,1628075,ActionTaken,Verbal Warning,,
1444808,1628077,ActionTaken,Verbal Warning,,
1444809,1628078,ActionTaken,Citation,,
1444809,1628079,SearchType,Vehicle,,
1444809,1628080,SearchBasis,Inventory Search [Prior to Impound],,
1444810,1628081,ActionTaken,Verbal Warning,,
1444810,1628082,ActionTaken,FI,,
1444812,1628087,ActionTaken,Verbal Warning,,
1444889,1628165,ActionTaken,Verbal Warning,,
1444814,1628089,ActionTaken,Citation,,
1444815,1628090,ActionTaken,Citation,,
1444813,1628088,ActionTaken,Verbal Warning,,
1444829,1628106,ActionTaken,Citation,,
1444817,1628092,ActionTaken,Citation,,
1444816,1628091,ActionTaken,Citation,,
1444819,1628094,ActionTaken,Citation,,
1444819,1628095,SearchBasis,Inventory Search [Prior to Impound],,
1444820,1628096,ActionTaken,Verbal Warning,,
1444823,1628099,ActionTaken,Citation,,
1444835,1628111,ActionTaken,Citation,,
1444835,1628112,SearchType,Passenger,,
1444835,1628113,SearchBasis,4th Waiver Search,,
1444827,1628104,ActionTaken,Citation,,
1444824,1628100,ActionTaken,Verbal Warning,,
1444825,1628101,ActionTaken,Other,,
1444825,1628102,ActionTakenOther,CONTACT ONLY,,
1444837,NULL,NULL,NULL,,
1444838,NULL,NULL,NULL,,
1444826,1628103,ActionTaken,Citation,,
1444840,NULL,NULL,NULL,,
1444828,1628105,ActionTaken,Citation,,
1444831,1628108,ActionTaken,Citation,,
1444830,1628107,ActionTaken,FI,,
1444842,NULL,NULL,NULL,,
1444841,1628116,ActionTaken,Citation,,
1444832,1628109,ActionTaken,Written Warning,,
1444839,1628115,ActionTaken,Citation,,
1444843,NULL,NULL,NULL,,
1444833,NULL,NULL,NULL,,
1444836,1628114,ActionTaken,Citation,,
1444844,1628117,ActionTaken,Citation,,
1444858,1628136,ActionTaken,Other,,
1444858,1628137,ActionTakenOther,ARREST,,
1444858,1628138,SearchType,Vehicle,,
1444858,1628139,SearchBasis,Search incident to Arrest,,
1444834,1628110,ActionTaken,FI,,
1444845,NULL,NULL,NULL,,
1444847,NULL,NULL,NULL,,
1444846,1628118,ActionTaken,Other,,
1444846,1628119,ActionTakenOther,ARREST,,
1444846,1628120,SearchType,Vehicle,,
1444846,1628121,SearchType,Driver,,
1444846,1628122,SearchType,Passenger,,
1444846,1628123,SearchBasis,Search incident to Arrest,,
1444848,NULL,NULL,NULL,,
1444853,1628130,ActionTaken,Citation,,
1444849,1628124,ActionTaken,FI,,
1444849,1628125,SearchType,Vehicle,,
1444849,1628126,SearchBasis,4th Waiver Search,,
1444850,1628127,ActionTaken,Citation,,
1444851,1628128,ActionTaken,Citation,,
1444854,1628131,ActionTaken,Citation,,
1444852,1628129,ActionTaken,Verbal Warning,,
1444899,1628174,ActionTaken,Other,,
1444899,1628175,ActionTakenOther,ARREST,,
1444899,1628176,SearchType,Vehicle,,
1444899,1628177,SearchType,Driver,,
1444899,1628178,SearchBasis,Search incident to Arrest,,
1444881,NULL,NULL,NULL,,
1444882,NULL,NULL,NULL,,
1444857,1628134,ActionTaken,Verbal Warning,,
1444857,1628135,ActionTaken,FI,,
1444883,NULL,NULL,NULL,,
1444859,1628140,ActionTaken,Verbal Warning,,
1444884,NULL,NULL,NULL,,
1444855,1628132,ActionTaken,Citation,,
1444856,1628133,ActionTaken,Verbal Warning,,
1444860,1628141,ActionTaken,Verbal Warning,,
1444861,1628142,ActionTaken,Citation,,
1444862,1628143,ActionTaken,Verbal Warning,,
1444886,NULL,NULL,NULL,,
1444887,NULL,NULL,NULL,,
1444864,1628145,ActionTaken,Citation,,
1444863,1628144,ActionTaken,Verbal Warning,,
1444888,NULL,NULL,NULL,,
1444869,1628151,ActionTaken,Citation,,
1444871,1628153,ActionTaken,Citation,,
1444867,1628149,ActionTaken,Verbal Warning,,
1444865,NULL,NULL,NULL,,
1444866,1628146,ActionTaken,Citation,,
1444866,1628147,SearchType,Vehicle,,
1444866,1628148,SearchBasis,Inventory Search [Prior to Impound],,
1444868,1628150,ActionTaken,Verbal Warning,,
1444870,1628152,ActionTaken,Citation,,
1444872,1628154,ActionTaken,Verbal Warning,,
1444872,1628155,ActionTaken,FI,,
1444873,1628156,ActionTaken,Verbal Warning,,
1444875,1628158,ActionTaken,Verbal Warning,,
1444874,1628157,ActionTaken,Verbal Warning,,
1444876,1628159,ActionTaken,Written Warning,,
1444877,1628160,ActionTaken,Verbal Warning,,
1444878,1628161,ActionTaken,Citation,,
1444879,1628162,ActionTaken,Verbal Warning,,
1444885,1628164,ActionTaken,Written Warning,,
1444893,1628169,ActionTaken,Citation,,
1444890,1628166,ActionTaken,Citation,,
1444892,1628168,ActionTaken,Verbal Warning,,
1444891,1628167,ActionTaken,Citation,,
1444894,1628170,ActionTaken,Citation,,
1444895,NULL,NULL,NULL,,
1444896,1628171,ActionTaken,Verbal Warning,,
1444897,1628172,ActionTaken,Citation,,
1444898,1628173,ActionTaken,Verbal Warning,,
1444903,1628183,ActionTaken,Citation,,
1444900,1628179,ActionTaken,Citation,,
1444902,1628182,ActionTaken,Citation,,
1444901,1628180,ActionTaken,Verbal Warning,,
1444901,1628181,ActionTaken,FI,,
1444907,1628187,ActionTaken,Verbal Warning,,
1444905,1628185,ActionTaken,Citation,,
1444951,1628233,ActionTaken,Verbal Warning,,
1444951,1628234,ActionTaken,FI,,
1445677,1629004,ActionTaken,Citation,,
1444904,1628184,ActionTaken,Citation,,
1445676,1629003,ActionTaken,Citation,,
1444950,1628232,ActionTaken,Citation,,
1444972,1628254,ActionTaken,Citation,,
1445090,1628364,ActionTaken,Verbal Warning,,
1444909,1628189,ActionTaken,Citation,,
1444956,1628241,ActionTaken,Citation,,
1444958,NULL,NULL,NULL,,
1444906,1628186,ActionTaken,Verbal Warning,,
1444908,1628188,ActionTaken,Verbal Warning,,
1444910,1628190,ActionTaken,Citation,,
1445101,1628386,ActionTaken,Citation,,
1445101,1628387,SearchType,Driver,,
1445101,1628388,SearchBasis,4th Waiver Search,,
1444911,1628191,ActionTaken,Citation,,
1444919,NULL,NULL,NULL,,
1444913,1628193,ActionTaken,Verbal Warning,,
1444914,1628194,ActionTaken,Written Warning,,
1444915,1628195,ActionTaken,Citation,,
1444916,1628196,ActionTaken,Verbal Warning,,
1444917,1628197,ActionTaken,Verbal Warning,,
1444918,1628198,ActionTaken,Verbal Warning,,
1444920,1628199,ActionTaken,Verbal Warning,,
1444921,1628200,ActionTaken,Citation,,
1444922,1628201,ActionTaken,Other,,
1444922,1628202,ActionTakenOther,MISTAKE PC. FREE TO LEAVE,,
1445116,1628408,ActionTaken,Citation,,
1444949,1628229,ActionTaken,Citation,,
1444949,1628230,SearchType,Vehicle,,
1444949,1628231,SearchBasis,Consent Search,,
1444923,1628203,ActionTaken,Citation,,
1444924,1628204,ActionTaken,Verbal Warning,,
1445129,1628423,ActionTaken,Verbal Warning,,
1444925,1628205,ActionTaken,Verbal Warning,,
1445687,1629014,ActionTaken,Citation,,
1444926,1628206,ActionTaken,Verbal Warning,,
1445691,1629018,ActionTaken,Citation,,
1444927,1628207,ActionTaken,Citation,,
1445689,1629016,ActionTaken,Citation,,
1445642,1628969,ActionTaken,Citation,,
1444928,1628208,ActionTaken,Verbal Warning,,
1444960,1628244,ActionTaken,Citation,,
1445688,1629015,ActionTaken,Citation,,
1444929,1628209,ActionTaken,Verbal Warning,,
1445144,1628437,ActionTaken,Citation,,
1444930,1628210,ActionTaken,Verbal Warning,,
1445643,1628970,ActionTaken,Citation,,
1445694,1629021,ActionTaken,Citation,,
1444931,1628211,ActionTaken,Written Warning,,
1444932,1628212,ActionTaken,Citation,,
1445666,1628993,ActionTaken,Citation,,
1445637,1628964,ActionTaken,Citation,,
1444933,1628213,ActionTaken,Verbal Warning,,
1445644,1628971,ActionTaken,Citation,,
1447104,1630484,ActionTaken,Citation,,
1444934,1628214,ActionTaken,Verbal Warning,,
1444935,1628215,ActionTaken,Citation,,
1444937,1628217,ActionTaken,Citation,,
1445667,1628994,ActionTaken,Citation,,
1444936,1628216,ActionTaken,Citation,,
1445693,1629020,ActionTaken,Citation,,
1445654,1628981,ActionTaken,Citation,,
1445645,1628972,ActionTaken,Citation,,
1445668,1628995,ActionTaken,Citation,,
1444938,1628218,ActionTaken,Citation,,
1445646,1628973,ActionTaken,Citation,,
1445670,1628997,ActionTaken,Citation,,
1445680,1629007,ActionTaken,Citation,,
1445692,1629019,ActionTaken,Citation,,
1444939,1628219,ActionTaken,Verbal Warning,,
1444943,1628223,ActionTaken,Citation,,
