year,population,murder,rape,robbery,aggr_assault,violent_crime,burglary,larceny,vehicle_theft,property_crime,index_total
2016,1391676,0.04,0.41,1.00,2.39,3.83,3.41,12.96,4.20,20.57,24.40
2015,1368061,0.03,0.41,1.01,2.63,4.08,3.75,13.84,3.72,21.31,25.39
2014,1345895,0.02,0.28,0.98,2.60,3.87,3.80,12.40,3.72,19.92,23.80
2013,1326238,0.03,0.24,1.10,2.63,4.00,4.79,14.50,4.63,23.92,27.92
2012,1321315,0.04,0.23,1.15,2.77,4.18,4.47,14.52,5.00,23.99,28.18
2011,1311882,0.03,0.22,1.11,2.53,3.89,4.45,13.42,4.77,22.65,26.54
2010,1376173,0.02,0.22,1.19,2.65,4.08,4.64,13.06,4.64,22.35,26.43
2009,1353993,0.03,0.23,1.41,2.71,4.38,4.94,13.34,5.54,23.82,28.20
2008,1343000,0.04,0.28,1.50,2.68,4.50,5.77,16.34,7.95,30.06,34.56
2007,1337000,0.04,0.22,1.57,2.90,4.74,5.74,17.40,9.89,33.03,37.77
2006,1311162,0.05,0.27,1.65,2.91,4.87,5.91,18.40,10.17,34.48,39.35
2005,1305736,0.04,0.29,1.43,3.30,5.06,5.71,18.85,10.83,35.39,40.45
2004,1294032,0.05,0.29,1.28,3.62,5.23,5.65,19.45,10.02,35.12,40.35
2003,1275100,0.05,0.32,1.28,4.13,5.78,6.33,20.19,9.86,36.38,42.16
2002,1255742,0.04,0.26,1.30,4.13,5.73,6.08,19.57,8.53,34.18,39.91
2001,1250700,0.04,0.27,1.38,4.22,5.91,5.77,20.03,8.61,34.41,40.32
2000,1277200,0.04,0.27,1.39,3.90,5.60,5.26,18.02,7.41,30.69,36.29
1999,1245500,0.05,0.28,1.45,4.16,5.94,5.27,20.97,7.62,33.86,39.80
1998,1214000,0.03,0.31,1.75,5.12,7.21,6.05,23.38,8.19,37.62,44.83
1997,1190200,0.06,0.32,2.19,5.66,8.23,6.86,25.38,9.08,41.32,49.55
1996,1183100,0.07,0.31,2.53,5.67,8.58,7.28,26.78,9.41,43.47,52.05
1995,1197676,0.08,0.29,2.71,6.18,9.26,8.61,25.47,10.30,44.38,53.64
1994,1184814,0.10,0.34,3.25,6.95,10.64,10.88,29.71,13.53,54.12,64.76
1993,1171608,0.11,0.34,3.97,7.07,11.49,12.45,32.32,16.49,61.26,72.75
1992,1149598,0.13,0.42,4.63,7.69,12.87,14.30,35.49,17.60,67.39,80.26
1991,1130034,0.15,0.42,4.72,6.96,12.25,15.12,39.51,18.78,73.41,85.66
1990,1118279,0.12,0.39,3.87,6.39,10.77,14.93,43.44,21.68,80.05,90.82
1989,1086592,0.11,0.38,3.30,5.53,9.32,16.10,45.82,23.54,85.46,94.78
1988,1058700,0.14,0.37,3.03,5.13,8.67,16.56,43.38,22.79,82.73,91.40
1987,1031800,0.09,0.40,3.35,5.00,8.84,16.83,42.25,17.60,76.68,85.52
1986,1007000,0.10,0.39,3.96,4.02,8.47,17.41,40.18,13.14,70.73,79.20
1985,979300,0.10,0.35,3.13,2.81,6.39,16.71,35.96,10.27,62.94,69.33
1984,957600,0.11,0.41,2.73,2.94,6.19,15.92,35.95,9.15,61.02,67.21
1983,929100,0.08,0.43,2.74,2.61,5.86,17.39,37.23,8.11,62.73,68.59
1982,903800,0.08,0.47,3.48,2.43,6.46,17.94,39.49,8.63,66.06,72.52
